Market,Method,Is_Best,Return,Separation,Sharpe,MaxDD
Thai,SMA200,False,5.698545414705336,0.00066678955870839,0.15620561162058436,-18.930656879677223
Thai,GMM,False,-7.014144940608769,-0.22457362365626213,-0.032089752608441394,-42.04767040408203
Thai,HMM,False,-14.406312476883986,-0.27394019589601803,-0.1641699916896655,-32.95138736860031
Thai,ADX_Supertrend,False,20.50370603851639,0.09923660741630297,0.5225789357578916,-13.25194134159573
Thai,RandomForest,False,22.077995781206727,0.14161288087201396,0.31768624107799204,-34.90866034396406
Thai,XGBoost,False,-7.975374380147815,-0.0386245536205211,-0.12834417726564684,-23.81718179550799
Thai,SVC,False,6.511881775517003,-0.003892812859377913,0.16035962641125115,-19.961475030093546
Thai,LogisticRegression,True,44.55051564740551,0.10984104453114424,0.721749679196221,-16.94007459842811
UK,SMA200,False,-6.342590466991938,-0.059623200178017345,-0.03491085502356223,-26.977121410085235
UK,GMM,False,22.619581465898108,-0.06383006305486534,0.2609788925679016,-20.105768479727416
UK,HMM,True,70.07575012507968,0.08227759287096108,0.6537372057829968,-14.639165843085388
UK,ADX_Supertrend,False,15.715746390430585,0.029809706239681846,0.43774883015228705,-7.093116359728713
UK,RandomForest,False,54.782489716643546,0.11052425336359549,0.41437332368312485,-33.0307107101549
UK,XGBoost,False,49.88283173353663,0.05042002968389395,0.4518731767933013,-25.524204744325196
UK,SVC,False,-8.43830327684827,-0.04492118333324248,-0.01584906666250023,-36.60552329617587
UK,LogisticRegression,False,39.4309214398634,0.020342630279227725,0.3310434097962767,-36.60552329617587
Gold,SMA200,True,127.2592597831006,0.04828276096896224,1.0636399735454958,-17.72901473483075
Gold,GMM,False,126.47157999483305,-0.01437504331586886,1.1651410501999935,-21.720720571324172
Gold,HMM,False,125.13194062089572,-0.06690815225723129,1.2394232807831533,-20.38679490389439
Gold,ADX_Supertrend,False,25.57873255735632,-0.02324675928736008,0.4346046561485711,-13.806635470956262
Gold,RandomForest,False,11.050760816548433,0.18206350657756584,0.8949865774608898,-1.6470972241106496
Gold,XGBoost,False,40.59945310873447,0.1377065452060795,0.843071189804619,-7.03331210049657
Gold,SVC,False,33.45336544552704,0.014795209310148043,0.5111527107887288,-17.729014734830763
Gold,LogisticRegression,False,0.0,-0.08274050271626919,0.0,0.0
US,SMA200,False,206.9497274355304,-0.02818722856006476,0.5628624018570818,-21.306855137041016
US,GMM,False,305.4049215862578,-0.021162775023090587,0.615244454891947,-37.02892319726767
US,HMM,True,1546.216202489989,0.14505045185193483,1.4548286592372708,-10.276617093291406
US,ADX_Supertrend,False,10.543239861280696,-0.03465981719999394,0.11759082827192364,-31.647362138741585
US,RandomForest,False,30.9186891692486,0.006377024163847989,0.17242896982668635,-48.17132525859248
US,XGBoost,False,35.09265758010478,-0.008569339613436203,0.18520173908683232,-48.999954217979194
US,SVC,False,423.08904925897417,-0.09641836233915213,0.5286355229673849,-56.77538774277284
US,LogisticRegression,False,448.5384245004094,0.04215049761938705,0.5406578372143149,-56.77538774277292
BTC,SMA200,False,0.24112145706312038,-0.13374513124865417,0.11785640326553488,-31.31357028109528
BTC,GMM,False,117.09200993189901,0.3060735459791185,0.8017965871987064,-49.52272678588992
BTC,HMM,False,46.42403977270624,-0.18061888307632085,0.5233020354423851,-43.81538847260398
BTC,ADX_Supertrend,False,4.340568603768857,-0.05459124336638203,0.1629759676311352,-39.05906109028092
BTC,RandomForest,False,80.89591848565216,0.49528359586611503,1.0374865985677681,-19.13621232978202
BTC,XGBoost,True,91.42741704885206,0.5607615249142525,1.146605511642552,-16.207163887933508
BTC,SVC,False,32.32294690944342,-0.048635401972365544,0.41875123721033414,-49.73881729854681
BTC,LogisticRegression,False,0.0,-0.10102852390296486,0.0,0.0
