Feature,Importance
volume_nvi,0.07240474259569078
volume_adi,0.06068930671951065
volume_obv,0.056114168120215656
p_ma_dist_60_120,0.053841059988151405
volatility_bbl,0.04943398517027796
volume_vpt,0.0480329168911729
volatility_dcl,0.04061878796417336
p_ma_dist_20_120,0.03813121567931445
atr_14,0.03313848176964963
volatility_dcw,0.03272929454910874
trend_adx,0.03235235808655361
trend_mass_index,0.03215436222519462
bb_width_20,0.0320897314576377
roc_68,0.031986419091918246
volatility_atr,0.03152807263960019
volume_cmf,0.03114405115120187
volatility_bbw,0.030867414287327654
volume_mfi,0.030793995843577403
trend_visual_ichimoku_b,0.030784766022987485
momentum_pvo_signal,0.030431011775223345
volatility_kcw,0.02999533940171315
p_ma_grad_120,0.029742251070317673
others_cr,0.029436416141115723
volatility_ui,0.028376408239988004
p_ma_dist_20_60,0.028180241744365474
momentum_pvo,0.027908976446501043
trend_stc,0.027094224927511307
