Feature,Importance
volume_nvi,0.028739142007735335
vma_120,0.021983264694155444
volume_vpt,0.020928106261518486
p_ma_dist_60_120,0.019947694313922754
ma_120,0.019065279105538787
ma_60,0.015191943925426435
trend_visual_ichimoku_a,0.014698576970600579
volume_obv,0.014208966309315596
p_ma_dist_20_120,0.014132734607201977
trend_visual_ichimoku_b,0.013626062474690654
trend_ichimoku_b,0.013274415667905347
trend_ichimoku_base,0.012437652994195773
volatility_dcl,0.01221229395615506
volatility_bbh,0.012142522973864306
p_ma_grad_60,0.012139618364417529
trend_kst,0.011950100683207645
vma_20,0.011698590572098903
trend_ema_slow,0.011486650674881605
trend_kst_sig,0.01113992848903671
trend_sma_slow,0.011047672485314877
volatility_dch,0.010806692239235043
vma_60,0.01069718893893938
bb_upper_20,0.010643546381369112
volatility_bbl,0.010440356124963412
p_ma_grad_120,0.010404520579858403
p_ma_dist_10_60,0.010205817888070252
trend_adx,0.009906317406153194
ma_20,0.009624967972239539
roc_54,0.009612732192383152
volatility_ui,0.009571454573141843
