Feature,Importance
volume_nvi,0.03032259896241561
volume_obv,0.02423791204596079
vma_120,0.023033092177344238
volume_vpt,0.022005780884936283
ma_120,0.021309660661659926
vma_60,0.020077886954168876
p_ma_dist_60_120,0.017265342184010015
trend_visual_ichimoku_b,0.017113865662209096
volume_adi,0.016786381513893535
vma_20,0.0166783607000388
vma_5,0.015089195489163156
momentum_pvo_signal,0.013897254311692588
p_ma_dist_10_120,0.01388891637571717
ma_60,0.013174886129339107
p_disp_120,0.013074998158283046
p_ma_grad_120,0.01297146107696515
p_ma_dist_20_120,0.01297119721672991
trend_ichimoku_b,0.012769303330021086
volatility_bbh,0.012495481796769682
others_cr,0.012204102316996323
volatility_dch,0.011946763153092893
volatility_kcc,0.011862862481939645
trend_mass_index,0.011464153123929907
trend_ichimoku_base,0.011354440156024243
trend_visual_ichimoku_a,0.011196710226501963
trend_sma_slow,0.010951282208597122
momentum_kama,0.010811170000131813
bb_upper_20,0.010759540592706862
volatility_dcm,0.010616902843748185
trend_ema_slow,0.010536941419147162
