Market,Method,Is_Best,Return,Separation,Sharpe,MaxDD
Thai,SMA200,False,14.45537430913857,0.0019634213615471107,0.34789156862067083,-18.930656879677223
Thai,GMM,False,-3.037659795172376,-0.41604761290833175,0.024830212128155473,-42.04767040408204
Thai,HMM,False,-1.8609478033352445,-0.39309334225299347,0.035471237845526506,-32.95138736860034
Thai,ADX_Supertrend,True,33.914360868386396,0.13582612190869545,0.8214859939491758,-13.251941341595696
Thai,RandomForest,False,73.57377521383317,0.11160462592357114,0.8651910388372192,-23.01624942727627
Thai,XGBoost,False,-6.245745942367131,-0.08518101138764425,-0.24635286008277746,-12.06820458672
Thai,SVC,False,30.178017682108703,0.03857501629108252,0.5567929144630088,-16.94007459842811
Thai,LogisticRegression,False,21.813885192159898,0.0793666555719796,0.5289166904342018,-16.94007459842818
UK,SMA200,False,-2.863356981358456,-0.06024988246181738,0.008731759290996144,-26.977121410085203
UK,GMM,False,20.630380493533316,-0.10087814437250335,0.24773805251546221,-20.105768479727292
UK,HMM,True,78.14538399704954,0.08404077486850942,0.7088251426900084,-14.639165843085289
UK,ADX_Supertrend,False,16.412610406681626,0.027761584694461605,0.4785743636665641,-7.093116359728702
UK,RandomForest,False,67.37801164273269,0.0563437726721248,0.5084379840946127,-26.728390298881322
UK,XGBoost,False,27.3513543055685,0.009894390070255667,0.29309221764569565,-30.987048119008374
UK,SVC,False,11.872896589411642,0.018437392897003448,0.18321745779532567,-29.4579157341479
UK,LogisticRegression,False,48.478923120656845,0.023275524848281447,0.38232751178932733,-36.60552329617588
Gold,SMA200,True,148.15542520440795,0.07103354498386273,1.2380135649814399,-16.345271484636914
Gold,GMM,False,119.32128488779755,-0.09688122632752248,1.1108072964845208,-21.72072057132408
Gold,HMM,False,107.7174844021067,-0.18484047147035543,1.1327864994676833,-20.38679490389438
Gold,ADX_Supertrend,False,23.94810414292006,-0.034000325204371226,0.41703049244323376,-11.366200569716556
Gold,RandomForest,False,190.89922114237368,0.12672976489417834,1.4091712715047577,-20.430367714606934
Gold,XGBoost,False,97.5619592720827,0.07012003009947293,1.21179505010359,-9.839858816188274
Gold,SVC,False,80.71556984811544,0.04283583086134035,0.9851965689822364,-13.589488909528392
Gold,LogisticRegression,False,0.0,-0.08703464271891745,0.0,0.0
US,SMA200,False,200.33792131735058,-0.03139543165769465,0.55343766254681,-21.306855137041047
US,GMM,False,305.8591247745036,-0.02163497810019555,0.6190196758414996,-37.53346569487776
US,HMM,True,1580.4594825756308,0.14717394271217052,1.4735348447299323,-10.276617093291406
US,ADX_Supertrend,False,8.21450042134253,-0.03806081821517667,0.09887977886953697,-31.647362138741496
US,RandomForest,False,52.338614813388595,0.02305688078747309,0.234216111030569,-47.98643775871827
US,XGBoost,False,131.97254215958648,-0.04413379287014155,0.3378878019540958,-52.728756225753436
US,SVC,False,438.3304248691527,-0.570640212838616,0.5370735552143961,-56.77538774277282
US,LogisticRegression,False,433.19633777553906,-0.09536400199128625,0.5346697917745072,-56.775387742772864
BTC,SMA200,False,-4.673651519086097,-0.1843583574283939,0.06322438212275479,-31.313570281095295
BTC,GMM,True,92.23785312642849,0.12525289102594736,0.7101683978221823,-48.205341039698204
BTC,HMM,False,65.0017340285571,-0.10496079114974288,0.6403161151307736,-43.16889412068783
BTC,ADX_Supertrend,False,7.86787328398848,-0.033796402307054045,0.2141034047282638,-32.8321116783152
BTC,RandomForest,False,29.854395249274155,0.6203965175477562,0.6968407904466896,-10.117874688523099
BTC,XGBoost,False,12.86124913014599,0.05367264582982511,0.3091458792950783,-16.77974915656295
BTC,SVC,False,-55.859341711741074,-0.5310063053878191,-0.8149560461208382,-57.98294956823572
BTC,LogisticRegression,False,6.357069023205586,0.5112063727734307,0.34849142915316184,-5.45601313502786
