Model,Accuracy,F1_Macro,F1_Weighted,F1_Bearish,F1_Bullish
LSTM,0.45028409361839294,0.43820061512640834,0.43712149874877504,0.5142857142857142,0.31007751937984496
CNN,0.4161931872367859,0.41318028599224604,0.4088431844898002,0.4259634888438134,0.34032634032634035
MLP,0.4474431872367859,0.4326534395499913,0.4310609183454011,0.5057471264367817,0.3027027027027027
Transformer,0.4517045319080353,0.39239866355971215,0.3856442522938947,0.5525525525525525,0.06734006734006734
RandomForest,0.3664772727272727,0.3579734813619217,0.363098696424303,0.38877755511022044,0.37479806138933763
SVM,0.4431818181818182,0.435460372960373,0.43303748808010173,0.5034965034965035,0.30288461538461536
