Feature,Importance
volatility_dcl,0.14655610835744787
volume_adi,0.1078254202261423
volatility_bbl,0.09653765422097906
trend_visual_ichimoku_b,0.09344571006607039
others_cr,0.04183786430371171
volatility_atr,0.029190559299055983
volume_mfi,0.02899950609299551
volume_nvi,0.028974452542859946
volatility_kcw,0.02868355901142891
volatility_dcw,0.028612779336657585
bb_width_20,0.028483910064550356
atr_14,0.02718259900443815
volume_cmf,0.027028340679081803
volatility_ui,0.025823565044647903
volatility_bbw,0.02542046089370946
volume_obv,0.024347186038691526
momentum_pvo,0.02334107160170844
trend_mass_index,0.02311920237580669
trend_adx,0.022809145518615785
momentum_pvo_signal,0.020615252315888503
