Feature,Importance
volume_adi,0.15229832232773796
volume_obv,0.09900026180983396
volume_vpt,0.08071431994103621
volatility_bbl,0.06494680704744459
others_cr,0.058505785463475006
trend_adx,0.03523543464358996
trend_mass_index,0.033734733326772064
trend_visual_ichimoku_b,0.032891270186420386
bb_width_20,0.029941043867502407
volatility_dcw,0.029579928435414907
momentum_pvo_signal,0.02836545591421403
roc_68,0.027760879119475952
volatility_bbw,0.026683168490813786
volatility_kcw,0.025927507838038332
momentum_pvo,0.025668856022525256
volume_cmf,0.02463886898850875
volatility_ui,0.02383263691086581
p_ma_dist_20_60,0.023821117982757788
volume_mfi,0.02372968247673134
p_ma_grad_120,0.022915540743258557
