Feature,Importance
volume_nvi,0.3569257789853248
volume_vpt,0.09823801507853978
volume_obv,0.06413743183137263
volatility_atr,0.031030179859412574
atr_14,0.02932481551849697
trend_adx,0.025980200633894914
momentum_pvo,0.02459623834818808
volatility_dcw,0.02392667054570962
volatility_kcw,0.022394800946125698
bb_width_20,0.021855122816403515
volatility_bbl,0.021830033469463706
momentum_pvo_signal,0.021479745227134153
roc_68,0.02108798810246848
trend_mass_index,0.02084496801485694
volatility_bbw,0.020733199671928857
volume_mfi,0.020452949936138637
volume_cmf,0.02044920369836303
volume_adi,0.020401271006135053
volatility_ui,0.020028750307372136
others_cr,0.01834539096442128
