Feature,Importance
volume_adi,0.13196012243673366
volume_obv,0.07392763374370903
atr_14,0.048413437193397225
volatility_kcw,0.04717153679780099
volatility_atr,0.041990742833230975
trend_adx,0.039094156562941546
volume_cmf,0.03694537495369699
volatility_dcw,0.03665641610075074
volume_nvi,0.036185906353394505
bb_width_20,0.035710518125748984
momentum_pvo_signal,0.03499480089180893
p_ma_dist_60_120,0.034442922216430125
momentum_pvo,0.033884979110955386
volatility_bbw,0.03281211783952254
p_ma_dist_20_60,0.03264582186629418
volume_mfi,0.03239967189467837
trend_mass_index,0.0323548003851629
volatility_ui,0.03206393464947482
trend_stc,0.03075046231879406
p_ma_dist_20_120,0.02849505580012236
