Feature,Importance
volatility_bbl,0.17112700877174714
volatility_dcl,0.15179539761747635
volume_vpt,0.09213236974400692
bb_width_20,0.03557246881034552
volatility_bbw,0.03491829463608472
volume_cmf,0.03457615103321932
others_cr,0.03229953613862952
volume_obv,0.03178401314087085
trend_mass_index,0.030385264938709102
volume_mfi,0.02889857115848657
volatility_dcw,0.027650252026043237
volatility_ui,0.02688759395396244
volatility_kcw,0.02645249460752062
atr_14,0.025762596978780587
volatility_atr,0.02538889369033804
trend_adx,0.02518445678437891
trend_stc,0.024855079846803838
trend_visual_ichimoku_b,0.02419977085201472
momentum_pvo_signal,0.022859327777367405
momentum_pvo,0.021734395145867214
