Model,Accuracy,F1_Macro,F1_Weighted,F1_Bearish,F1_Bullish
LSTM,0.41335228085517883,0.3962214520022281,0.39584649138847783,0.4900662251655629,0.25
CNN,0.40909090638160706,0.40535743691521303,0.39577336249662937,0.36065573770491804,0.35443037974683544
MLP,0.4275568127632141,0.41268530387648483,0.41517308727709695,0.512987012987013,0.29207920792079206
Transformer,0.4204545319080353,0.37785643563389804,0.3862916546495111,0.5758039816232772,0.1833810888252149
RandomForest,0.3877840909090909,0.38141121211441753,0.3854349688742806,0.40718562874251496,0.39222042139384117
SVM,0.4460227272727273,0.43985778211433435,0.4380779491713771,0.5052264808362369,0.3192488262910798
