Feature,Importance
volume_vpt,0.020400061022641403
ma_120,0.01783354340138538
trend_visual_ichimoku_b,0.01744221053639773
ma_60,0.016553651898310085
trend_ichimoku_b,0.01519232507539019
trend_visual_ichimoku_a,0.014379439121857915
p_ma_dist_60_120,0.014248140283615098
momentum_kama,0.014081400135540451
volume_nvi,0.014011250981273394
vma_120,0.013904354925727114
volume_obv,0.013655654245666836
volatility_dch,0.01348013368950005
ma_20,0.012643201362970813
momentum_pvo_signal,0.012294464907706543
volatility_dcl,0.012238047944171796
p_ma_dist_20_120,0.012031138616835073
volatility_bbh,0.011965756121639512
volume_adi,0.01183970474053701
bb_upper_20,0.011697020303609312
trend_ichimoku_base,0.011638669597839022
volatility_bbm,0.011630426455660457
vma_60,0.011445379527350181
trend_mass_index,0.011340836330201552
trend_psar_up,0.011304019544852974
p_ma_grad_120,0.011060447564668743
volatility_dcm,0.01105307665556101
bb_width_20,0.010976101114523589
roc_68,0.010649675485143515
others_cr,0.01044808018796506
trend_psar_down,0.010376821623693524
