Feature,Importance
volume_nvi,0.022029476692043883
vma_120,0.019430150329596555
vma_60,0.019205161428024694
p_ma_dist_60_120,0.01910836233812262
ma_120,0.018994883369430882
volume_obv,0.018223102536532122
trend_visual_ichimoku_b,0.018213144919005
p_ma_grad_120,0.01745579494011001
volume_adi,0.015894828379824193
ma_60,0.01495500584289703
volume_vpt,0.014050910064525404
vma_20,0.01385212499419743
p_ma_dist_20_60,0.01380780891498397
trend_ichimoku_base,0.013627476285213524
p_ma_dist_20_120,0.013182282006210667
trend_ichimoku_b,0.013162506920819106
trend_visual_ichimoku_a,0.012925994174813908
volatility_bbm,0.012267972948898899
momentum_pvo_signal,0.01218638807378431
momentum_kama,0.012070829862348897
others_cr,0.011998161047338857
trend_ema_fast,0.011312299594098357
trend_ichimoku_a,0.011272432050452079
volatility_atr,0.011232745040223377
atr_14,0.011147156000862872
p_ma_dist_10_120,0.010987874204336666
volatility_bbh,0.010832880913850585
roc_68,0.01080373462098705
p_ma_grad_60,0.01071878684096626
volatility_dch,0.010688705964114342
