Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200
2015-08-20,2076.610107421875,2076.610107421875,2035.72998046875,2035.72998046875,3922470000,6403.5,6408.60009765625,6359.7001953125,6367.89990234375,728564100,3754.56689453125,3788.0048828125,3663.60693359375,3664.291015625,390100,1372.6600341796875,1379.5,1370.0400390625,1372.530029296875,10464000,226.8990020751953,237.36500549316406,226.8990020751953,235.35000610351562,32275000,2061.195554199219
2015-08-21,2034.0799560546875,2034.0799560546875,1970.8900146484375,1970.8900146484375,5018240000,6367.89990234375,6367.89990234375,6187.7001953125,6187.7001953125,807243600,3609.958984375,3652.8369140625,3490.5400390625,3507.743896484375,369900,1365.9300537109375,1369.8399658203125,1357.9000244140625,1365.6099853515625,11421800,235.35499572753906,236.4320068359375,231.7239990234375,232.56900024414062,23173800,2061.0585040283204
2015-08-24,1965.1500244140625,1965.1500244140625,1867.010009765625,1893.2099609375,6612690000,6187.7001953125,6187.7001953125,5768.2001953125,5898.89990234375,1657266300,3373.47802734375,3388.364013671875,3191.87890625,3209.905029296875,334700,1334.6199951171875,1336.7900390625,1301.06005859375,1301.06005859375,16107100,228.11199951171875,228.13900756835938,210.4429931640625,210.4949951171875,59220700,2060.694603881836
2015-08-25,1898.0799560546875,1948.0400390625,1867.0799560546875,1867.6099853515625,5183560000,5898.89990234375,6115.7001953125,5898.89990234375,6081.2998046875,1335924300,3004.1259765625,3123.033935546875,2947.944091796875,2964.967041015625,352300,1315.7099609375,1323.8800048828125,1292.1400146484375,1323.8800048828125,13920700,210.0679931640625,226.3209991455078,199.56700134277344,221.60899353027344,61089200,2060.118403930664
2015-08-26,1872.75,1943.0899658203125,1872.75,1940.510009765625,5338250000,6081.2998046875,6095.10009765625,5949.89990234375,5979.2001953125,991933700,2980.7939453125,3092.041015625,2850.714111328125,2927.2880859375,466700,1314.9100341796875,1333.300048828125,1314.8599853515625,1320.0799560546875,15768200,222.0760040283203,231.18299865722656,220.20399475097656,225.83099365234375,31808000,2059.9319537353517
2015-08-27,1942.77001953125,1989.5999755859375,1942.77001953125,1987.6600341796875,5006390000,5979.2001953125,6212.5,5979.2001953125,6192.0,1028065800,2978.030029296875,3085.422119140625,2906.489990234375,3083.591064453125,400300,1338.3699951171875,1359.22998046875,1336.5899658203125,1358.030029296875,16181600,226.0500030517578,228.64300537109375,223.6840057373047,224.7689971923828,21905400,2060.0088037109376
2015-08-28,1986.06005859375,1993.47998046875,1975.18994140625,1988.8699951171875,3949080000,6192.0,6247.89990234375,6152.0,6247.89990234375,868831700,3125.263916015625,3235.839111328125,3102.945068359375,3232.35009765625,443100,1374.3599853515625,1380.6600341796875,1358.760009765625,1365.93994140625,10772200,224.7010040283203,235.218994140625,220.92599487304688,231.39599609375,31336600,2060.1087036132812
2015-09-01,1970.0899658203125,1970.0899658203125,1903.0699462890625,1913.8499755859375,4371850000,6247.89990234375,6247.89990234375,6028.7001953125,6058.5,1001128800,3157.83203125,3180.3310546875,3053.738037109375,3166.6240234375,432400,1381.6400146484375,1384.1800537109375,1361.77001953125,1362.3900146484375,15442900,230.25599670410156,231.21600341796875,226.86000061035156,228.12100219726562,20575200,2060.0369036865236
2015-09-02,1916.52001953125,1948.9100341796875,1916.52001953125,1948.8599853515625,3742620000,6058.5,6161.7001953125,6021.39990234375,6083.2998046875,769181300,3027.677978515625,3194.485107421875,3019.0869140625,3160.1669921875,438200,1360.52001953125,1375.719970703125,1355.27001953125,1372.449951171875,10959200,228.02699279785156,230.57699584960938,226.47500610351562,229.28399658203125,18760400,2060.250553588867
2015-09-08,1927.300048828125,1970.4200439453125,1927.300048828125,1969.4100341796875,3548650000,6074.5,6196.5,6074.5,6146.10009765625,664577700,3054.444091796875,3174.708984375,3011.116943359375,3170.451904296875,255400,1371.31005859375,1379.9200439453125,1360.0799560546875,1379.3199462890625,9905100,239.8459930419922,245.781005859375,239.67799377441406,243.60699462890625,26879200,2060.7239038085936
2015-09-09,1971.449951171875,1988.6300048828125,1937.8800048828125,1942.0400390625,3652120000,6146.10009765625,6284.2001953125,6146.10009765625,6229.0,734267900,3182.552001953125,3256.742919921875,3165.696044921875,3243.089111328125,375300,1390.1700439453125,1398.5699462890625,1385.8900146484375,1396.2900390625,11945900,243.4149932861328,244.41600036621094,237.8209991455078,238.16799926757812,23635700,2061.045604248047
2015-09-10,1941.5899658203125,1965.2900390625,1937.18994140625,1952.2900390625,3626320000,6229.0,6229.0,6127.5,6155.7998046875,749536800,3190.552978515625,3243.281005859375,3178.904052734375,3197.89306640625,273300,1386.489990234375,1396.1600341796875,1384.3900146484375,1396.1600341796875,9488300,238.33599853515625,241.29299926757812,235.79100036621094,238.4770050048828,21215500,2061.4946044921876
2015-09-11,1951.449951171875,1961.050048828125,1939.18994140625,1961.050048828125,3218590000,6155.7998046875,6174.2998046875,6113.10009765625,6117.7998046875,584620900,3189.47900390625,3223.761962890625,3163.448974609375,3200.23388671875,224600,1399.300048828125,1403.300048828125,1381.47998046875,1381.719970703125,12301700,238.32899475097656,241.16900634765625,238.32899475097656,240.10699462890625,19224700,2061.9860546875
2015-09-14,1963.06005859375,1963.06005859375,1948.27001953125,1953.030029296875,3000200000,6117.7998046875,6191.7998046875,6065.39990234375,6084.60009765625,598665000,3221.1650390625,3229.48193359375,3049.22998046875,3114.798095703125,346600,1382.6400146484375,1385.1199951171875,1371.9599609375,1377.1500244140625,10496500,230.60899353027344,232.44000244140625,227.96099853515625,230.6439971923828,20997800,2062.317404785156
2015-09-15,1955.0999755859375,1983.18994140625,1954.300048828125,1978.0899658203125,3239860000,6084.60009765625,6158.10009765625,6019.89990234375,6137.60009765625,706522000,3043.804931640625,3081.702880859375,2983.919921875,3005.172119140625,249200,1377.3299560546875,1381.0899658203125,1368.31005859375,1370.6500244140625,11930300,230.49200439453125,259.1820068359375,229.82200622558594,230.3040008544922,19177800,2062.68780456543
2015-09-16,1978.02001953125,1997.260009765625,1977.9300537109375,1995.31005859375,3630680000,6137.60009765625,6244.89990234375,6137.60009765625,6229.2001953125,818994800,2998.035888671875,3182.93408203125,2983.534912109375,3152.262939453125,277500,1375.280029296875,1382.4200439453125,1369.449951171875,1381.800048828125,8916100,230.25,231.21499633789062,227.40199279785156,229.09100341796875,20144200,2062.957954711914
2015-09-17,1995.3299560546875,2020.8599853515625,1986.72998046875,1990.199951171875,4183790000,6229.2001953125,6239.89990234375,6182.60009765625,6187.0,836839300,3131.98193359375,3204.701904296875,3085.31396484375,3086.06103515625,317600,1387.0,1392.81005859375,1384.6199951171875,1389.699951171875,8406000,229.0760040283203,230.28500366210938,228.92599487304688,229.80999755859375,18935400,2063.2734045410157
2015-09-18,1989.6600341796875,1989.6600341796875,1953.449951171875,1958.030029296875,6021240000,6187.0,6188.7001953125,6053.89990234375,6104.10009765625,1508172800,3100.280029296875,3122.048095703125,3070.3359375,3097.9169921875,209200,1394.0,1397.77001953125,1386.7900390625,1390.3199462890625,10118800,233.52099609375,234.35299682617188,232.18499755859375,232.97500610351562,20242200,2063.2406549072266
2015-09-21,1960.8399658203125,1979.6400146484375,1955.800048828125,1966.969970703125,3269350000,6104.10009765625,6168.7001953125,6083.60009765625,6108.7001953125,697537600,3072.093994140625,3159.883056640625,3060.85595703125,3156.5400390625,239900,1384.760009765625,1394.3499755859375,1382.43994140625,1392.72998046875,7845400,231.2169952392578,231.2169952392578,226.52099609375,227.0850067138672,19678800,2063.2673547363283
2015-09-22,1961.3900146484375,1961.3900146484375,1929.219970703125,1942.739990234375,3808260000,6108.7001953125,6111.60009765625,5935.7998046875,5935.7998046875,941657100,3161.318115234375,3213.47607421875,3152.48095703125,3185.618896484375,274800,1396.3800048828125,1397.2900390625,1377.7900390625,1379.3199462890625,9679000,226.968994140625,232.38600158691406,225.11700439453125,230.6179962158203,25009300,2063.055804443359
2015-09-23,1943.239990234375,1949.52001953125,1932.5699462890625,1938.760009765625,3190530000,5935.7998046875,6067.60009765625,5933.2001953125,6032.2001953125,725707700,3137.722900390625,3164.041015625,3104.743896484375,3115.887939453125,236300,1372.4300537109375,1378.6400146484375,1364.72998046875,1375.1700439453125,7917100,230.93600463867188,231.8350067138672,229.59100341796875,230.2830047607422,17254100,2062.838104248047
2015-09-24,1934.81005859375,1937.1700439453125,1908.9200439453125,1932.239990234375,4091530000,6032.2001953125,6055.60009765625,5947.2001953125,5961.5,867489200,3126.490966796875,3151.1650390625,3109.69091796875,3142.68701171875,212900,1371.9000244140625,1375.8299560546875,1365.5999755859375,1372.3499755859375,9325000,230.35800170898438,235.6490020751953,230.2949981689453,234.5290069580078,25097800,2062.5260540771483
2015-09-25,1935.9300537109375,1952.8900146484375,1921.5,1931.3399658203125,3721870000,5961.5,6120.7001953125,5961.5,6109.0,837519200,3130.85107421875,3149.947998046875,3062.9951171875,3092.346923828125,236300,1375.31005859375,1380.5899658203125,1368.4300537109375,1376.8299560546875,9269200,234.36199951171875,237.427001953125,233.6840057373047,235.1439971923828,22363600,2062.0925036621093
2015-09-28,1929.1800537109375,1929.1800537109375,1879.2099609375,1881.77001953125,4326660000,6109.0,6110.2998046875,5958.89990234375,5958.89990234375,968395200,3085.56689453125,3103.069091796875,3042.31005859375,3100.756103515625,156700,1368.56005859375,1369.0999755859375,1352.02001953125,1352.1300048828125,8485800,232.83599853515625,239.33900451660156,232.4669952392578,239.14199829101562,24713000,2061.412303466797
