Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200,UK_SMA200,China_SMA200
2015-08-13,2086.18994140625,2092.929931640625,2078.260009765625,2083.389892578125,3221300000,6571.2001953125,6634.7001953125,6553.5,6568.2998046875,668900300,3869.910888671875,3955.7890625,3838.158935546875,3954.555908203125,430100,1399.300048828125,1404.1500244140625,1382.699951171875,1404.1500244140625,10367500,266.1830139160156,266.23199462890625,262.84100341796875,264.0799865722656,27685500,2059.166304321289,6727.652507324219,3478.156239013672
2015-08-14,2083.14990234375,2092.449951171875,2080.610107421875,2091.5400390625,2795590000,6568.2998046875,6603.2001953125,6544.39990234375,6550.7001953125,577612000,3976.405029296875,4000.68408203125,3939.8349609375,3965.3349609375,468000,1404.239990234375,1416.469970703125,1399.3900146484375,1413.9200439453125,9683700,264.1319885253906,267.46600341796875,261.4779968261719,265.67999267578125,27091200,2059.616154785156,6726.501508789062,3486.443448486328
2015-08-17,2089.699951171875,2102.8701171875,2079.300048828125,2102.43994140625,2867690000,6550.7001953125,6585.89990234375,6507.7998046875,6550.2998046875,471278500,3947.843994140625,3994.537109375,3907.39892578125,3993.66796875,460400,1414.6400146484375,1418.68994140625,1408.739990234375,1408.739990234375,8642300,258.489990234375,260.5050048828125,257.11700439453125,257.97601318359375,21617900,2060.07155456543,6725.156508789062,3494.8321484375
2015-08-18,2101.989990234375,2103.469970703125,2094.139892578125,2096.919921875,2949990000,6550.2998046875,6564.60009765625,6505.7001953125,6526.2998046875,538348700,3999.134033203125,4006.3369140625,3743.39404296875,3748.1640625,543800,1371.8800048828125,1388.1199951171875,1362.31005859375,1372.6099853515625,18760800,257.9259948730469,257.9930114746094,211.07899475097656,211.07899475097656,42147200,2060.5041540527345,6723.598508300781,3501.925714111328
2015-08-19,2095.68994140625,2096.169921875,2070.530029296875,2079.610107421875,3512920000,6526.2998046875,6526.5,6403.5,6403.5,699446800,3646.802978515625,3811.427001953125,3558.383056640625,3794.10888671875,475400,1376.18994140625,1383.300048828125,1370.239990234375,1379.1199951171875,9411300,225.67100524902344,237.40899658203125,222.76600646972656,226.6840057373047,60869200,2060.930754394531,6721.7480078125,3509.4469287109373
2015-08-20,2076.610107421875,2076.610107421875,2035.72998046875,2035.72998046875,3922470000,6403.5,6408.60009765625,6359.7001953125,6367.89990234375,728564100,3754.56689453125,3788.0048828125,3663.60693359375,3664.291015625,390100,1372.6600341796875,1379.5,1370.0400390625,1372.530029296875,10464000,226.8990020751953,237.3650054931641,226.8990020751953,235.3500061035156,32275000,2061.195554199219,6720.207006835937,3516.219793701172
2016-08-15,2186.080078125,2193.81005859375,2186.080078125,2190.14990234375,3078530000,6916.0,6955.2998046875,6907.2001953125,6941.2001953125,534981000,3056.48388671875,3137.47607421875,3053.87109375,3125.195068359375,297600,1539.9599609375,1558.3199462890625,1538.77001953125,1549.1099853515625,14648000,570.4940185546875,573.5800170898438,563.239990234375,567.239990234375,57262300,2042.9467016601564,6234.096997070313,3091.20408203125
2016-08-16,2186.239990234375,2186.239990234375,2178.139892578125,2178.14990234375,3196400000,6941.2001953125,6941.2001953125,6893.89990234375,6893.89990234375,624313400,3130.532958984375,3140.44091796875,3102.06494140625,3110.037109375,278300,1552.760009765625,1556.3800048828125,1532.8599853515625,1537.52001953125,14825900,567.2429809570312,581.7379760742188,566.7160034179688,577.4390258789062,58405200,2043.9470013427735,6237.87849609375,3091.728406982422
2016-08-17,2177.840087890625,2183.080078125,2168.5,2182.219970703125,3388910000,6893.89990234375,6920.7998046875,6849.89990234375,6859.2001953125,694905300,3106.990966796875,3114.2548828125,3090.281005859375,3109.554931640625,213800,1535.739990234375,1539.8900146484375,1529.989990234375,1531.6300048828125,21172200,577.760986328125,580.8939819335938,571.4299926757812,573.2160034179688,54443000,2044.8815509033202,6241.02849609375,3091.5148669433593
2016-08-18,2181.89990234375,2187.030029296875,2180.4599609375,2187.02001953125,3300570000,6859.2001953125,6893.39990234375,6850.60009765625,6869.0,562282600,3107.7529296875,3125.5810546875,3093.31689453125,3104.114013671875,229400,1536.25,1549.97998046875,1535.1800537109375,1547.010009765625,15078900,573.7069702148438,577.7919921875,573.4299926757812,574.3179931640625,59896600,2045.865651245117,6244.43849609375,3091.6051318359373
