Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200,UK_SMA200,China_SMA200,Thai_SMA200
2016-03-22,2048.639892578125,2056.60009765625,2040.5699462890625,2049.800048828125,3418460000,6184.60009765625,6193.5,6110.39990234375,6192.7001953125,738984400,3001.6298828125,3019.10107421875,2988.426025390625,2999.363037109375,270400,1400.949951171875,1402.030029296875,1391.22998046875,1397.199951171875,10039300,413.1319885253906,418.375,412.531005859375,418.0889892578125,66813300,2032.1868072509765,6363.337993164063,3579.792032470703,1393.5712487792969
2016-03-23,2048.550048828125,2048.550048828125,2034.8599853515625,2036.7099609375,3639510000,6192.7001953125,6216.7998046875,6171.10009765625,6199.10009765625,621495500,2991.1689453125,3012.56005859375,2980.85498046875,3009.9599609375,217000,1396.239990234375,1412.1600341796875,1393.1600341796875,1412.1600341796875,10505200,418.1610107421875,419.26800537109375,417.364013671875,418.0409851074219,61444200,2031.8361065673828,6359.601994628906,3572.458731689453,1393.0196990966797
2016-03-24,2032.47998046875,2036.0400390625,2022.489990234375,2035.93994140625,3407720000,6199.10009765625,6199.10009765625,6090.0,6106.5,625282200,2986.801025390625,2998.154052734375,2960.537109375,2960.969970703125,237000,1407.3599853515625,1412.800048828125,1403.530029296875,1405.4100341796875,9463200,418.4240112304687,418.6799926757813,415.4859924316406,416.3940124511719,68346704,2031.5882562255858,6355.331494140625,3565.0553076171873,1392.4130493164062
2016-03-29,2035.75,2055.909912109375,2028.31005859375,2055.010009765625,3822330000,6106.5,6156.7001953125,6070.7998046875,6105.89990234375,596325500,2956.705078125,2962.202880859375,2905.2509765625,2919.83203125,183000,1389.0400390625,1394.780029296875,1386.2900390625,1392.8499755859375,8205000,424.3039855957031,426.2030029296875,412.6809997558594,416.5159912109375,75411504,2031.4625567626954,6351.192492675781,3558.5081372070313,1391.777899169922
2016-03-30,2058.27001953125,2072.2099609375,2058.27001953125,2063.949951171875,3590310000,6105.89990234375,6221.7998046875,6105.89990234375,6203.2001953125,803811000,2941.218017578125,3001.10595703125,2941.218017578125,3000.64501953125,210400,1401.0799560546875,1419.719970703125,1400.550048828125,1410.2900390625,9436100,416.8340148925781,416.8340148925781,412.4960021972656,414.8160095214844,66034100,2031.3423065185548,6347.773493652344,3552.95029296875,1391.3377990722656
2016-03-31,2063.77001953125,2067.919921875,2057.4599609375,2059.739990234375,3715280000,6203.2001953125,6203.39990234375,6149.7998046875,6174.89990234375,746399600,3009.366943359375,3023.408935546875,2992.916015625,3003.9150390625,220400,1406.8499755859375,1412.9200439453125,1402.010009765625,1407.699951171875,8050300,415.2569885253906,418.3689880371094,415.2569885253906,416.72900390625,60215200,2031.0605059814452,6343.413994140625,3546.940283203125,1390.823748779297
2016-04-01,2056.6201171875,2075.070068359375,2043.97998046875,2072.780029296875,3749990000,6174.89990234375,6174.89990234375,6076.89990234375,6146.10009765625,747479000,2997.087890625,3009.673095703125,2956.2470703125,3009.530029296875,206500,1405.0699462890625,1406.239990234375,1395.43994140625,1400.719970703125,7017600,416.760009765625,418.1730041503906,415.83099365234375,417.9599914550781,51235700,2030.8977557373046,6338.9949951171875,3540.3200134277345,1390.320848388672
2016-04-18,2078.830078125,2094.659912109375,2073.64990234375,2094.340087890625,3316880000,6343.7998046875,6354.89990234375,6261.7001953125,6353.5,594992600,3058.462890625,3058.462890625,3022.969970703125,3033.659912109375,183300,1387.0799560546875,1398.81005859375,1384.3900146484375,1398.77001953125,8816900,427.6109924316406,429.27398681640625,427.08599853515625,428.5910034179687,55670900,2029.0691052246093,6316.232995605469,3500.1834228515627,1386.4524487304689
2016-04-19,2096.050048828125,2104.050048828125,2091.679931640625,2100.800048828125,3896830000,6353.5,6418.2998046875,6353.5,6405.39990234375,808478400,3047.133056640625,3054.5029296875,3024.89501953125,3042.822998046875,156500,1403.81005859375,1417.9599609375,1402.1600341796875,1416.0,9729400,428.7030029296875,436.0199890136719,428.10400390625,435.5090026855469,52810500,2028.9438549804688,6313.22349609375,3493.1660974121096,1385.931898803711
2016-04-20,2101.52001953125,2111.050048828125,2096.320068359375,2102.39990234375,4184880000,6405.39990234375,6421.89990234375,6367.39990234375,6410.2998046875,814753100,3050.381103515625,3055.68896484375,2905.049072265625,2972.583984375,283100,1416.780029296875,1419.77001953125,1407.969970703125,1414.9599609375,9214600,435.3240051269531,443.0539855957031,434.406005859375,441.3890075683594,72890096,2028.8017541503907,6310.207495117187,3485.3819079589844,1385.3754486083985
2016-04-21,2102.090087890625,2103.780029296875,2088.52001953125,2091.47998046875,4175290000,6410.2998046875,6427.2998046875,6352.89990234375,6381.39990234375,831612200,2954.3701171875,2990.673095703125,2943.464111328125,2952.89111328125,189400,1425.719970703125,1432.25,1420.75,1423.9000244140625,9722000,441.4159851074219,450.5480041503906,440.9519958496094,449.4249877929687,68204704,2028.6288537597657,6306.955993652344,3476.8583825683595,1384.8756488037109
2016-04-22,2091.489990234375,2094.320068359375,2081.199951171875,2091.580078125,3790580000,6381.39990234375,6381.60009765625,6289.2998046875,6310.39990234375,675930800,2933.034912109375,2960.208984375,2926.77587890625,2959.239990234375,137200,1425.27001953125,1425.760009765625,1410.81005859375,1410.81005859375,8619100,449.68798828125,449.80999755859375,444.1499938964844,445.7369995117187,58804400,2028.5657543945313,6303.762993164062,3467.10009765625,1384.439799194336
2016-04-25,2089.3701171875,2089.3701171875,2077.52001953125,2087.7900390625,3319740000,6310.39990234375,6324.60009765625,6249.2998046875,6260.89990234375,688678400,2949.972900390625,2954.092041015625,2917.02001953125,2946.669921875,125900,1410.6600341796875,1413.989990234375,1406.3800048828125,1408.7099609375,8569100,459.1210021972656,466.6199951171875,453.5920104980469,461.4259948730469,87091800,2028.3873046875,6299.9009936523435,3457.1248779296875,1383.9791491699218
2016-04-26,2089.840087890625,2096.8701171875,2085.800048828125,2091.699951171875,3557190000,6260.89990234375,6297.89990234375,6260.89990234375,6284.5,776825800,2944.716064453125,2965.428955078125,2933.970947265625,2964.699951171875,117700,1408.0,1421.8900146484375,1405.550048828125,1418.780029296875,11743300,461.64801025390625,467.9649963378906,461.6210021972656,466.0889892578125,78971904,2028.2418542480468,6296.118994140625,3448.847047119141,1383.6049993896484
2016-04-27,2092.330078125,2099.889892578125,2082.31005859375,2095.14990234375,4100110000,6284.5,6319.89990234375,6255.2001953125,6319.89990234375,822361600,2967.18994140625,2976.02197265625,2949.431884765625,2953.6708984375,130900,1421.800048828125,1423.1500244140625,1409.1700439453125,1411.8399658203125,8430400,466.2619934082031,467.0790100097656,444.1340026855469,444.68701171875,93564896,2028.180654296875,6292.796494140625,3440.556680908203,1383.1839489746094
2016-04-28,2090.929931640625,2099.300048828125,2071.6201171875,2075.81005859375,4309840000,6319.89990234375,6322.39990234375,6224.5,6322.39990234375,861757000,2955.741943359375,2959.511962890625,2916.3740234375,2945.589111328125,138700,1416.3499755859375,1419.2099609375,1396.1600341796875,1399.9100341796875,10243000,445.0379943847656,449.5509948730469,436.6499938964844,449.010986328125,74064704,2028.0117041015626,6289.766994628906,3430.7319921875,1382.799149169922
2016-04-29,2071.820068359375,2073.85009765625,2052.280029296875,2065.300048828125,4704720000,6322.39990234375,6322.39990234375,6241.89990234375,6241.89990234375,865553800,2935.3759765625,2950.575927734375,2930.35693359375,2938.323974609375,109300,1399.1500244140625,1404.6099853515625,1394.25,1404.6099853515625,11785200,449.4079895019531,455.3840026855469,446.0169982910156,455.0969848632813,49258500,2027.7678540039062,6286.223994140625,3420.8737219238283,1382.4118493652343
2016-05-03,2077.179931640625,2077.179931640625,2054.889892578125,2063.3701171875,4173390000,6241.89990234375,6270.0,6159.89990234375,6185.60009765625,869478400,2940.39208984375,2993.534912109375,2929.81494140625,2992.64306640625,168700,1403.530029296875,1409.9200439453125,1397.1199951171875,1397.8699951171875,10448000,444.72698974609375,451.0969848632813,442.6170043945313,450.3039855957031,59366400,2027.6055041503905,6282.855993652343,3411.101427001953,1381.94669921875
2016-05-04,2060.300048828125,2060.300048828125,2045.550048828125,2051.1201171875,4058560000,6185.60009765625,6185.60009765625,6100.7998046875,6112.0,775563200,2983.027099609375,3004.41796875,2978.330078125,2991.27197265625,165400,1392.5799560546875,1393.56005859375,1384.1800537109375,1390.699951171875,8202600,450.1830139160156,450.37799072265625,445.6300048828125,446.7219848632813,50407300,2027.396954345703,6279.392993164062,3400.9423059082033,1381.3633489990234
2016-05-09,2057.550048828125,2064.14990234375,2054.31005859375,2058.68994140625,3788620000,6125.7001953125,6177.60009765625,6108.39990234375,6114.7998046875,669494900,2896.162109375,2896.162109375,2821.825927734375,2832.113037109375,180400,1389.780029296875,1394.280029296875,1381.6600341796875,1394.1400146484375,8724900,458.20599365234375,462.4809875488281,456.531005859375,460.4830017089844,55493100,2027.29400390625,6276.0169921875,3389.443466796875,1380.7926489257814
2016-05-10,2062.6298828125,2084.8701171875,2062.6298828125,2084.389892578125,3600200000,6114.7998046875,6180.2001953125,6114.7998046875,6156.7001953125,652991800,2822.326904296875,2845.238037109375,2820.1640625,2832.591064453125,120800,1387.1700439453125,1393.6199951171875,1384.25,1390.1300048828125,9941900,460.51800537109375,461.9289855957031,448.9540100097656,450.8949890136719,58956100,2027.315203857422,6273.031494140625,3378.038751220703,1380.28169921875
2016-05-11,2083.2900390625,2083.2900390625,2064.4599609375,2064.4599609375,3821980000,6156.7001953125,6172.7001953125,6131.2001953125,6162.5,573062300,2843.544921875,2857.25390625,2818.698974609375,2837.037109375,135800,1391.1500244140625,1394.1800537109375,1382.27001953125,1382.4100341796875,10530500,450.864013671875,454.5759887695313,450.864013671875,452.7279968261719,50605200,2027.11150390625,6269.692495117188,3366.6937561035156,1379.673549194336
2016-05-12,2067.169921875,2073.989990234375,2053.1298828125,2064.110107421875,3782390000,6162.5,6193.2001953125,6094.10009765625,6104.2001953125,698762400,2812.10791015625,2839.27587890625,2781.236083984375,2835.862060546875,136300,1384.8199462890625,1399.3900146484375,1383.0400390625,1399.31005859375,11880600,452.4469909667969,454.9490051269531,449.25,454.7659912109375,59849300,2026.88775390625,6265.979995117187,3355.2651025390624,1379.096049194336
2016-05-13,2062.5,2066.7900390625,2043.1300048828125,2046.6099853515625,3579880000,6104.2001953125,6138.5,6060.10009765625,6138.5,646363000,2828.4619140625,2850.093017578125,2814.114990234375,2827.10888671875,114300,1400.0,1404.5699462890625,1394.25,1394.68994140625,12057500,454.8500061035156,457.0549926757813,453.4530029296875,455.6700134277344,60845000,2026.6502532958984,6262.7479956054685,3343.568896484375,1378.5283489990234
2016-05-16,2046.530029296875,2071.8798828125,2046.530029296875,2066.659912109375,3501360000,6138.5,6157.2001953125,6092.2001953125,6151.39990234375,445329500,2816.77490234375,2851.22900390625,2804.990966796875,2850.862060546875,114700,1403.239990234375,1406.030029296875,1392.989990234375,1397.6300048828125,12288900,457.58599853515625,458.2000122070313,452.9450073242187,454.1629943847656,59171500,2026.5614031982423,6259.952495117188,3332.508240966797,1378.0070489501952
2016-05-17,2065.0400390625,2065.68994140625,2040.8199462890625,2047.2099609375,4108960000,6151.39990234375,6215.89990234375,6147.2001953125,6167.7998046875,758810700,2850.926025390625,2860.321044921875,2832.458984375,2843.68408203125,123400,1405.300048828125,1411.02001953125,1402.4300537109375,1406.5699462890625,11824800,454.0090026855469,455.0719909667969,453.6050109863281,453.7829895019531,64100300,2026.3160028076172,6257.240993652344,3322.289500732422,1377.5234985351562
2016-05-18,2044.3800048828125,2060.610107421875,2034.489990234375,2047.6300048828125,4101320000,6167.7998046875,6169.2998046875,6116.0,6165.7998046875,887529400,2828.177978515625,2828.2548828125,2781.4169921875,2807.513916015625,140500,1406.949951171875,1410.0400390625,1399.3599853515625,1400.5,11330800,453.6910095214844,455.99798583984375,453.2990112304687,454.6189880371094,86850096,2026.051953125,6254.6669921875,3311.4875805664065,1376.9520483398437
2016-05-19,2044.2099609375,2044.2099609375,2025.9100341796875,2040.0400390625,3846770000,6165.7998046875,6165.7998046875,6050.2001953125,6053.39990234375,936494700,2802.31494140625,2829.402099609375,2801.548095703125,2806.906005859375,111600,1400.780029296875,1400.969970703125,1384.1199951171875,1385.8599853515625,13807100,454.52398681640625,454.6329956054687,438.7149963378906,438.7149963378906,96027400,2025.6459533691407,6251.3944921875,3301.595330810547,1376.3411480712891
2016-05-23,2052.22998046875,2055.580078125,2047.260009765625,2048.0400390625,3055480000,6156.2998046875,6173.10009765625,6122.60009765625,6136.39990234375,653011400,2826.31201171875,2848.071044921875,2826.256103515625,2843.64501953125,120500,1387.72998046875,1388.8800048828125,1377.6500244140625,1381.68994140625,10836300,439.3479919433594,444.3450012207031,438.822998046875,444.1549987792969,50582500,2025.3362036132812,6248.523991699219,3293.421737060547,1375.792297973633
2016-05-24,2052.64990234375,2079.669921875,2052.64990234375,2076.06005859375,3627340000,6136.39990234375,6231.89990234375,6109.60009765625,6219.2998046875,833810600,2839.681884765625,2839.695068359375,2807.18798828125,2821.666015625,111500,1381.5,1386.1500244140625,1376.739990234375,1384.260009765625,9472700,444.2909851074219,447.1000061035156,443.9299926757813,445.9809875488281,65783100,2025.0955041503905,6245.445991210938,3284.647606201172,1375.197448120117
2016-05-25,2078.929931640625,2094.72998046875,2078.929931640625,2090.5400390625,3859160000,6219.2998046875,6270.2998046875,6219.2998046875,6262.89990234375,870436700,2835.029052734375,2843.1650390625,2807.7490234375,2815.0859375,103500,1393.949951171875,1398.3499755859375,1390.18994140625,1397.6300048828125,9102700,446.06201171875,450.2980041503906,446.06201171875,449.5989990234375,65231000,2025.005303955078,6242.5364916992185,3275.272286376953,1374.5942980957032
2016-05-26,2091.43994140625,2094.300048828125,2087.080078125,2090.10009765625,3230990000,6262.89990234375,6281.7001953125,6243.5,6265.7001953125,665573200,2813.54296875,2827.092041015625,2780.762939453125,2822.443115234375,114800,1398.6800537109375,1404.469970703125,1398.0799560546875,1401.6400146484375,7537900,449.6719970703125,453.6440124511719,447.89599609375,453.3840026855469,65203800,2024.9442541503906,6239.825993652344,3266.745607910156,1374.0051483154298
2016-05-27,2090.06005859375,2099.06005859375,2090.06005859375,2099.06005859375,3079150000,6265.7001953125,6275.89990234375,6250.2998046875,6270.7998046875,559788200,2817.968017578125,2832.799072265625,2809.799072265625,2821.0458984375,109800,1402.3699951171875,1412.6700439453125,1400.9200439453125,1412.6700439453125,8619800,453.52099609375,478.14898681640625,453.52099609375,473.4639892578125,164780992,2024.9321044921876,6237.4114916992185,3259.886472167969,1373.478348388672
2016-05-31,2100.1298828125,2103.47998046875,2088.659912109375,2096.949951171875,4514410000,6270.7998046875,6290.10009765625,6230.10009765625,6230.7998046875,1329032900,2822.593017578125,2917.135009765625,2822.593017578125,2916.615966796875,215300,1427.2900390625,1428.2900390625,1420.18994140625,1424.280029296875,11275800,534.1909790039062,546.6179809570312,520.6619873046875,531.385986328125,138450000,2025.1286547851562,6235.462990722656,3254.204401855469,1373.043798828125
2016-06-01,2093.93994140625,2100.969970703125,2085.10009765625,2099.330078125,3525170000,6230.7998046875,6233.2001953125,6151.89990234375,6191.89990234375,887239300,2917.154052734375,2929.075927734375,2909.511962890625,2913.508056640625,188400,1423.260009765625,1429.0799560546875,1415.72998046875,1415.760009765625,9108800,531.1069946289062,543.0800170898438,525.635986328125,536.9199829101562,86061800,2025.3097546386718,6233.817490234375,3247.385831298828,1372.5998486328126
