Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200,UK_SMA200
2015-08-13,2086.18994140625,2092.929931640625,2078.260009765625,2083.389892578125,3221300000,6571.2001953125,6634.7001953125,6553.5,6568.2998046875,668900300,3869.910888671875,3955.7890625,3838.158935546875,3954.555908203125,430100,1399.300048828125,1404.1500244140625,1382.699951171875,1404.1500244140625,10367500,266.1830139160156,266.23199462890625,262.84100341796875,264.0799865722656,27685500,2059.166304321289,6727.652507324219
2015-08-14,2083.14990234375,2092.449951171875,2080.610107421875,2091.5400390625,2795590000,6568.2998046875,6603.2001953125,6544.39990234375,6550.7001953125,577612000,3976.405029296875,4000.68408203125,3939.8349609375,3965.3349609375,468000,1404.239990234375,1416.469970703125,1399.3900146484375,1413.9200439453125,9683700,264.1319885253906,267.46600341796875,261.4779968261719,265.67999267578125,27091200,2059.616154785156,6726.501508789062
2015-08-17,2089.699951171875,2102.8701171875,2079.300048828125,2102.43994140625,2867690000,6550.7001953125,6585.89990234375,6507.7998046875,6550.2998046875,471278500,3947.843994140625,3994.537109375,3907.39892578125,3993.66796875,460400,1414.6400146484375,1418.68994140625,1408.739990234375,1408.739990234375,8642300,258.489990234375,260.5050048828125,257.11700439453125,257.97601318359375,21617900,2060.07155456543,6725.156508789062
2015-08-18,2101.989990234375,2103.469970703125,2094.139892578125,2096.919921875,2949990000,6550.2998046875,6564.60009765625,6505.7001953125,6526.2998046875,538348700,3999.134033203125,4006.3369140625,3743.39404296875,3748.1640625,543800,1371.8800048828125,1388.1199951171875,1362.31005859375,1372.6099853515625,18760800,257.9259948730469,257.9930114746094,211.07899475097656,211.07899475097656,42147200,2060.5041540527345,6723.598508300781
2015-08-19,2095.68994140625,2096.169921875,2070.530029296875,2079.610107421875,3512920000,6526.2998046875,6526.5,6403.5,6403.5,699446800,3646.802978515625,3811.427001953125,3558.383056640625,3794.10888671875,475400,1376.18994140625,1383.300048828125,1370.239990234375,1379.1199951171875,9411300,225.67100524902344,237.40899658203125,222.76600646972656,226.6840057373047,60869200,2060.930754394531,6721.7480078125
2015-08-20,2076.610107421875,2076.610107421875,2035.72998046875,2035.72998046875,3922470000,6403.5,6408.60009765625,6359.7001953125,6367.89990234375,728564100,3754.56689453125,3788.0048828125,3663.60693359375,3664.291015625,390100,1372.6600341796875,1379.5,1370.0400390625,1372.530029296875,10464000,226.8990020751953,237.3650054931641,226.8990020751953,235.3500061035156,32275000,2061.195554199219,6720.207006835937
2015-08-21,2034.0799560546875,2034.0799560546875,1970.8900146484375,1970.8900146484375,5018240000,6367.89990234375,6367.89990234375,6187.7001953125,6187.7001953125,807243600,3609.958984375,3652.8369140625,3490.5400390625,3507.743896484375,369900,1365.9300537109375,1369.8399658203125,1357.9000244140625,1365.6099853515625,11421800,235.35499572753903,236.4320068359375,231.7239990234375,232.56900024414065,23173800,2061.0585040283204,6717.614008789063
2015-08-24,1965.1500244140625,1965.1500244140625,1867.010009765625,1893.2099609375,6612690000,6187.7001953125,6187.7001953125,5768.2001953125,5898.89990234375,1657266300,3373.47802734375,3388.364013671875,3191.87890625,3209.905029296875,334700,1334.6199951171875,1336.7900390625,1301.06005859375,1301.06005859375,16107100,228.11199951171875,228.13900756835935,210.4429931640625,210.4949951171875,59220700,2060.694603881836,6713.910007324219
2015-08-25,1898.0799560546875,1948.0400390625,1867.0799560546875,1867.6099853515625,5183560000,5898.89990234375,6115.7001953125,5898.89990234375,6081.2998046875,1335924300,3004.1259765625,3123.033935546875,2947.944091796875,2964.967041015625,352300,1315.7099609375,1323.8800048828125,1292.1400146484375,1323.8800048828125,13920700,210.0679931640625,226.3209991455078,199.56700134277344,221.60899353027344,61089200,2060.118403930664,6711.069506835937
2015-08-26,1872.75,1943.0899658203125,1872.75,1940.510009765625,5338250000,6081.2998046875,6095.10009765625,5949.89990234375,5979.2001953125,991933700,2980.7939453125,3092.041015625,2850.714111328125,2927.2880859375,466700,1314.9100341796875,1333.300048828125,1314.8599853515625,1320.0799560546875,15768200,222.0760040283203,231.18299865722656,220.20399475097656,225.83099365234375,31808000,2059.9319537353517,6707.732507324219
2015-08-27,1942.77001953125,1989.5999755859375,1942.77001953125,1987.6600341796875,5006390000,5979.2001953125,6212.5,5979.2001953125,6192.0,1028065800,2978.030029296875,3085.422119140625,2906.489990234375,3083.591064453125,400300,1338.3699951171875,1359.22998046875,1336.5899658203125,1358.030029296875,16181600,226.0500030517578,228.64300537109375,223.6840057373047,224.7689971923828,21905400,2060.0088037109376,6705.579006347656
