Date,Close,High,Low,Open,Volume
2011-09-01,1826.0,1829.5,1814.4000244140625,1825.800048828125,263
2011-09-02,1873.699951171875,1884.199951171875,1828.5999755859375,1828.5999755859375,442
2011-09-06,1869.9000244140625,1911.5999755859375,1864.0,1886.300048828125,536
2011-09-07,1814.199951171875,1873.699951171875,1792.800048828125,1868.9000244140625,470
2011-09-08,1854.4000244140625,1870.0,1835.0,1839.300048828125,142
2011-09-09,1856.4000244140625,1881.300048828125,1830.0,1858.0999755859375,188
2011-09-12,1809.9000244140625,1852.4000244140625,1806.0,1852.4000244140625,245
2011-09-13,1826.800048828125,1835.300048828125,1808.0999755859375,1817.800048828125,52
2011-09-14,1823.5,1843.0,1809.0,1843.0,156
2011-09-15,1778.5,1816.300048828125,1775.800048828125,1816.300048828125,80
2011-09-16,1812.0999755859375,1819.0999755859375,1768.5,1768.5,111
2011-09-19,1776.4000244140625,1818.9000244140625,1788.0,1814.699951171875,13
2011-09-20,1806.5999755859375,1807.800048828125,1776.0,1778.800048828125,86
2011-09-21,1805.5,1811.699951171875,1782.800048828125,1808.0,22
2011-09-22,1739.199951171875,1773.199951171875,1730.9000244140625,1773.199951171875,23
2011-09-23,1637.5,1737.300048828125,1636.300048828125,1737.300048828125,81
2011-09-26,1592.5,1661.800048828125,1562.4000244140625,1646.4000244140625,151
2011-09-27,1650.5999755859375,1665.4000244140625,1653.699951171875,1653.800048828125,47
2011-09-28,1616.300048828125,1650.0,1650.0,1650.0,21275
2011-09-29,1615.5,1633.800048828125,1585.0,1604.0,7181
2011-09-30,1620.4000244140625,1639.4000244140625,1609.4000244140625,1620.800048828125,284
2011-10-03,1656.0,1660.800048828125,1627.5999755859375,1627.800048828125,101
2011-10-04,1614.699951171875,1678.0999755859375,1596.5999755859375,1661.0,159
2011-10-05,1640.300048828125,1640.300048828125,1599.5999755859375,1629.300048828125,114
2011-10-06,1651.9000244140625,1654.699951171875,1637.5999755859375,1642.5999755859375,38
2011-10-07,1634.5,1665.0,1626.199951171875,1657.0,66
2011-10-10,1669.5999755859375,1676.800048828125,1645.5999755859375,1645.5999755859375,61
2011-10-11,1659.699951171875,1685.0,1657.5999755859375,1685.0,151
2011-10-12,1681.300048828125,1691.0,1667.0999755859375,1667.0999755859375,37
2011-10-13,1667.300048828125,1678.800048828125,1656.199951171875,1676.0999755859375,148
2011-10-14,1681.800048828125,1683.300048828125,1665.800048828125,1665.800048828125,51
2011-10-17,1675.5,1693.5,1667.300048828125,1683.5999755859375,41
2011-10-18,1651.699951171875,1666.0,1627.5,1666.0,85
2011-10-19,1646.0,1659.300048828125,1641.300048828125,1659.300048828125,22
2011-10-20,1611.9000244140625,1643.199951171875,1608.699951171875,1643.199951171875,92
2011-10-21,1635.0999755859375,1647.4000244140625,1626.0999755859375,1626.0999755859375,32
2011-10-24,1651.5,1657.800048828125,1646.199951171875,1646.199951171875,313
2011-10-25,1699.5999755859375,1706.800048828125,1645.0,1645.0,355
2011-10-26,1722.699951171875,1723.5999755859375,1708.9000244140625,1717.0,135
2011-10-27,1746.699951171875,1735.5,1717.800048828125,1717.800048828125,494
2011-10-28,1746.199951171875,1752.0,1733.0,1752.0,158
2011-10-31,1724.199951171875,1741.9000244140625,1717.0,1741.9000244140625,62
2011-11-01,1711.0,1720.0999755859375,1682.5,1706.699951171875,246
2011-11-02,1728.699951171875,1741.4000244140625,1723.199951171875,1724.300048828125,294
2011-11-03,1764.199951171875,1766.0,1726.5999755859375,1740.5,290
2011-11-04,1755.300048828125,1761.199951171875,1754.9000244140625,1757.0,47
2011-11-07,1790.300048828125,1797.0,1755.300048828125,1755.300048828125,35
2011-11-08,1798.4000244140625,1798.4000244140625,1785.699951171875,1798.4000244140625,14
2011-11-09,1790.9000244140625,1793.0,1774.199951171875,1793.0,6
2011-11-10,1758.9000244140625,1766.800048828125,1754.800048828125,1766.800048828125,16
2011-11-11,1787.5,1789.0999755859375,1777.0,1777.0,28
2011-11-14,1777.800048828125,1779.0,1779.0,1779.0,24
2011-11-15,1781.699951171875,1783.0999755859375,1761.300048828125,1779.199951171875,18
2011-11-16,1773.800048828125,1777.5,1757.699951171875,1777.5,65
2011-11-17,1719.800048828125,1755.300048828125,1714.0,1755.300048828125,54
