Market,Trend,Regime,Champion Model,Best Threshold,Return (%),B&H (%),Max DD (%),Final $
US,uptrend,HMM,LSTM,0.53,178.01,39649.42,-78.67,27801.33
US,downtrend,HMM,CNN,0.51,59865.79,39649.42,-74.34,5996579.13
UK,uptrend,HMM,MLP,0.8500000000000003,-86.89,909.72,-95.67,1311.36
UK,downtrend,HMM,SVM,0.5,908.71,909.72,-52.57,100870.79
Thai,uptrend,HMM_Enhanced,MLP,0.5,-76.21,64.48,-94.43,2379.42
Thai,downtrend,HMM_Enhanced,LSTM,0.5,1694.35,64.48,-52.2,179434.69
Gold,uptrend,HMM,CNN,0.5,-89.29,1723.88,-91.94,1071.05
Gold,downtrend,HMM,Transformer,0.6500000000000001,1213.57,1723.84,-44.36,131356.68
BTC,uptrend,GMM_Enhanced,RandomForest,0.52,4120.56,18394.34,-79.86,422056.15
BTC,downtrend,GMM_Enhanced,LSTM,0.52,114718.86,18394.34,-83.15,11481885.79
