Market,Method,uptrend_days,downtrend_days,uptrend_pct,avg_uptrend_ret,avg_downtrend_ret,separation,uptrend_accuracy,downtrend_accuracy,strategy_return,buyhold_return,excess_return
Thai,SMA200,3888,3223,54.67585431022359,0.0370060198765515,-0.007624111456032225,0.04463013133258373,52.494855967078195,50.66708035991312,212.75002574130895,59.7764430397324,152.97358270157656
Thai,GMM,5452,1659,76.669947967937,0.010634034312321513,0.03696813682125587,-0.026334102508934358,51.83418928833456,51.41651597347799,31.0690796923061,59.7764430397324,-28.707363347426295
Thai,GMM_Enhanced,2116,4995,29.75671494867107,0.10044961463683631,-0.018667565668529573,0.11911718030536587,53.63894139886578,49.98998998998999,611.590106695552,59.7764430397324,551.8136636558196
Thai,ADX_Supertrend,1778,5333,25.003515679932498,0.09706222640458644,-0.00998870138573304,0.10705092779031947,53.14960629921261,49.578098631164444,354.4586372580663,59.7764430397324,294.6821942183339
Thai,HMM,4871,2240,68.49950780480944,0.041391703073042296,-0.03674646946944136,0.07813817254248366,52.96653664545268,52.99107142857142,525.4487012380647,59.7764430397324,465.6722581983323
Thai,HMM_Enhanced,1898,5213,26.691042047531994,0.16647969089459314,-0.03772713586431947,0.2042068267589126,59.48366701791359,51.90868981392672,2103.997770835228,59.7764430397324,2044.2213277954959
Thai,RandomForest,2404,4707,33.806778230909856,-0.013550371016349334,0.032267258546960734,-0.04581762956331007,52.37104825291181,49.54323348204802,-40.92585528594943,59.7764430397324,-100.70229832568182
UK,SMA200,7121,3512,66.97075143421424,0.01739892628119477,0.04879637941566327,-0.0313974531344685,52.59092824041567,46.924829157175395,173.4598027492702,938.4338131595674,-764.9740104102973
UK,GMM,9149,1484,86.0434496379197,0.025446398442288985,0.042089985989013076,-0.01664358754672409,52.84730571647175,48.18059299191375,629.3219194500318,938.4338131595674,-309.1118937095356
UK,GMM_Enhanced,5053,5580,47.521865889212826,0.0244840653654288,0.030744203631664094,-0.006260138266235294,52.34514150009895,46.81003584229391,203.13800273110024,938.4338131595674,-735.2958104284672
UK,ADX_Supertrend,1954,8679,18.37675162230791,0.019908577372836703,0.02953903426312645,-0.009630456890289747,51.33060388945753,46.825671160271924,38.069673218802215,938.4338131595674,-900.3641399407652
UK,HMM,8676,1957,81.5950343270949,0.042950247077520445,-0.03953280791434338,0.08248305499186383,53.41171046565238,50.383239652529376,3107.9507170504776,938.4338131595674,2169.51690389091
UK,HMM_Enhanced,4379,6254,41.18310918837581,0.062343244378610586,0.003560852481973397,0.058782391896637184,54.875542361269694,48.6568596098497,1299.7058598906542,938.4338131595674,361.2720467310867
UK,RandomForest,7778,2855,73.14962851500047,0.033422053793383116,0.012369143310425022,0.021052910482958098,52.77706351247107,47.39054290718038,749.4204639814677,938.4338131595674,-189.0133491780997
Gold,SMA200,4490,1892,70.35412096521466,0.052645777071868745,0.04902908153580184,0.0036166955360669066,53.85300668151448,48.94291754756871,706.5893435882382,1711.2110379990352,-1004.621694410797
Gold,GMM,5395,987,84.53462864305861,0.04886136837397154,0.06639866154088277,-0.017537293166911223,53.21594068582021,49.24012158054711,974.7981432489988,1711.2110379990352,-736.4128947500363
Gold,GMM_Enhanced,1665,4717,26.089000313381383,0.06802185159580952,0.04576768675247083,0.022254164843338694,54.414414414414416,47.02141191435234,185.27482757495076,1711.2110379990352,-1525.9362104240843
Gold,ADX_Supertrend,1408,4974,22.062049514258852,0.04074306124562289,0.05463939105038012,-0.013896329804757234,52.34375,46.38118214716526,59.50475884395765,1711.2110379990352,-1651.7062791550775
Gold,HMM,5530,852,86.64995299279222,0.06476063997158647,-0.034018518455921874,0.09877915842750834,53.363471971066915,50.93896713615024,2753.9495897338475,1711.2110379990352,1042.7385517348125
Gold,HMM_Enhanced,2496,3886,39.10999686618615,0.07381007817552551,0.03729094343600517,0.03651913473952034,53.84615384615385,47.040658775090066,452.5704705239025,1711.2110379990352,-1258.6405674751327
Gold,RandomForest,4293,2089,67.2673143215293,0.04203196280071233,0.0711820703757634,-0.029150107575051074,52.29443279757745,45.47630445189086,361.49041283816075,1711.2110379990352,-1349.7206251608745
US,SMA200,16583,8057,67.30113636363636,0.04284026020364327,0.007691259653454261,0.035149000550189005,53.741783754447326,48.64093334988209,59109.34282980468,38933.21911794913,20176.12371185555
US,GMM,20813,3827,84.46834415584415,0.02917581394906772,0.043154506993193335,-0.013978693044125613,52.841973766396,48.36686699764829,19767.589309390827,38933.21911794913,-19165.629808558297
