Feature,Importance
volume_nvi,0.03073545647236433
vma_120,0.02432542460712579
volume_vpt,0.024172532693707737
volume_obv,0.019768285915160895
ma_120,0.019524790064561197
ma_60,0.019145384209326054
vma_60,0.018956344353416043
volume_adi,0.01633576750209714
trend_visual_ichimoku_a,0.015254264855773289
p_ma_dist_20_120,0.014574305706814767
trend_visual_ichimoku_b,0.013626894579083892
trend_ichimoku_a,0.013090518796762584
trend_ichimoku_b,0.012974313858263895
volatility_bbh,0.012689995183163051
p_ma_dist_60_120,0.012391941584613906
p_ma_grad_120,0.012302187918037487
others_cr,0.012197538049764695
volatility_dcl,0.01204146145770915
trend_sma_slow,0.011386897354558423
trend_ema_slow,0.011202180882133697
vma_20,0.01071583394285174
volatility_dcm,0.010466482452642731
p_ma_dist_20_60,0.010422555812464604
volatility_kcw,0.010170473754018656
volatility_dch,0.009883951977549649
p_ma_dist_10_120,0.009731621785414356
trend_ichimoku_base,0.009650480829769872
p_ma_dist_5_120,0.009637684483607611
volatility_dcw,0.009622012516497174
roc_54,0.009573338405930668
