Feature,Importance
volume_nvi,0.021068830444968354
p_ma_dist_60_120,0.01965449694836857
ma_120,0.019400457745560845
vma_120,0.018353790322596455
vma_60,0.01823092169254345
trend_visual_ichimoku_b,0.018086838719463653
volume_adi,0.01649360016195414
p_ma_grad_120,0.016236157362623103
volume_obv,0.016020762010924817
ma_60,0.015288084368584316
volume_vpt,0.015120197946098944
trend_visual_ichimoku_a,0.014242949783272521
trend_ichimoku_base,0.014199704549034051
vma_20,0.013730887687776703
p_ma_dist_20_120,0.013653928476142855
trend_ichimoku_b,0.013623459024937582
volatility_bbh,0.012614523890628247
trend_ema_fast,0.012562128876003434
p_ma_dist_20_60,0.012535145261842587
volatility_bbm,0.012034284771889893
others_cr,0.011786876208543658
volatility_atr,0.011645352823466959
trend_ema_slow,0.011509687599154184
ma_20,0.01145045857729145
p_disp_120,0.011133823060126615
p_ma_dist_10_120,0.01111515024749735
momentum_pvo_signal,0.011088959204284382
trend_ichimoku_a,0.011062617352281678
volatility_bbl,0.011029958494094055
roc_68,0.010966114463899636
