Feature,Importance
volume_nvi,0.028544561260682957
p_ma_dist_60_120,0.02188108726289213
volume_vpt,0.02079152547278311
vma_120,0.01880554894004601
ma_120,0.01848570911166576
volume_obv,0.016924409338511463
trend_visual_ichimoku_a,0.01549568680287172
p_ma_dist_20_120,0.015087534676777455
trend_ichimoku_base,0.014238067896450124
ma_60,0.012844312411509873
trend_visual_ichimoku_b,0.012727250078382529
trend_ichimoku_b,0.012508055173339354
volatility_dcl,0.012449455132846272
trend_sma_slow,0.011966223053815206
vma_60,0.011920746400945146
p_ma_grad_60,0.011892390038875076
trend_kst_sig,0.011777200776227143
p_ma_dist_20_60,0.01174861385136479
trend_kst,0.01128280066004982
bb_upper_20,0.011086272820561403
vma_20,0.010751421347518988
volatility_bbh,0.010689131778694754
trend_adx,0.010570853350702505
trend_ema_slow,0.010506270649147758
p_ma_grad_120,0.01044626117115423
volatility_bbl,0.010237863590928256
volatility_dch,0.009935634577214135
p_disp_120,0.009780002200871002
p_disp_60,0.009763287381962919
roc_33,0.009701044560058728
