Feature,Importance
volume_vpt,0.02278959009582441
ma_120,0.019165855117076712
trend_visual_ichimoku_b,0.01710239371920088
ma_60,0.01606923373561125
trend_ichimoku_b,0.015649384769510125
volume_nvi,0.015126249163769933
trend_visual_ichimoku_a,0.014819925304789507
p_ma_dist_60_120,0.014638273067833586
volume_obv,0.014060551448063847
momentum_kama,0.013793184851512146
volatility_dch,0.013488557347643626
volume_adi,0.012967745644167012
vma_120,0.012855785730559727
volatility_dcl,0.012406812589446486
p_ma_grad_120,0.012342003430166757
trend_mass_index,0.012194578194532813
bb_upper_20,0.012076973505799043
momentum_pvo_signal,0.01196953109422904
volatility_bbh,0.011784642471547908
p_ma_dist_20_120,0.011609847000814971
vma_60,0.01156555194493888
p_ma_dist_5_120,0.011485220669418544
trend_psar_up,0.011421733334643826
bb_width_20,0.011228499922636413
p_ma_dist_10_120,0.011116959666676923
ma_20,0.01100264586815052
trend_ichimoku_base,0.010814229815685155
volatility_dcm,0.010734419487245043
vma_20,0.010687001216635003
volatility_bbm,0.01061608633783054
