Market,Method,uptrend_days,downtrend_days,uptrend_pct,avg_uptrend_ret,avg_downtrend_ret,separation,uptrend_accuracy,downtrend_accuracy,strategy_return,buyhold_return,excess_return,max_dd,sharpe
Thai,SMA200,3941,3223,55.011166945840316,0.03842983550068183,-0.007624111456032225,0.046053946956714054,52.60086272519665,50.66708035991312,235.20005700193335,71.24562240255136,163.95443459938198,-39.19123543509257,0.36437706708400297
Thai,GMM,5528,1636,77.16359575656058,0.013749563065758839,0.031095284754205598,-0.01734572168844676,51.953690303907386,51.58924205378973,55.06029156769032,71.24562240255136,-16.185330834861045,-65.91600880950837,0.17816853018610498
Thai,GMM_Enhanced,749,6415,10.455053042992741,0.1438141310345013,0.002987168564388735,0.14082696247011256,50.467289719626166,48.74512860483242,126.3988511436308,71.24562240255136,55.15322874107942,-38.789629041748285,0.27929555855279314
Thai,ADX_Supertrend,1794,5370,25.041876046901173,0.0960285817086166,-0.008453594990663494,0.10448217669928009,53.28874024526199,49.534450651769085,351.51074950925295,71.24562240255136,280.2651271067015,-29.853396682413603,0.4903854317472521
Thai,HMM,4892,2272,68.285873813512,0.04204416052009003,-0.03468334629352343,0.07672750681361347,52.984464431725264,52.772887323943664,550.8189623268645,71.24562240255136,479.57333992431313,-38.72729614448278,0.6389602555237925
Thai,HMM_Enhanced,2377,4787,33.179787828029035,0.14845559636438582,-0.04721108879731562,0.19566668516170144,58.140513251998314,52.266555253812406,3104.378133500028,71.24562240255136,3033.132511097477,-8.119196369842518,1.8937931493981839
Thai,RandomForest,4701,2463,65.61976549413735,0.1346632414884433,-0.2055105268988131,0.3401737683872564,55.00957243139758,56.27283800243605,34210.22771596942,71.24562240255136,34138.98209356687,-25.935492035270613,1.1965755073805457
UK,SMA200,7179,3512,67.14993920119727,0.017291024860670728,0.04879637941566327,-0.03150535455499254,52.52820727120769,46.924829157175395,173.30423054573174,937.8430446629991,-764.5388141172674,-43.25614079457618,0.2779934065554045
UK,GMM,9233,1458,86.36236086427836,0.025440758994197826,0.041571072832054926,-0.016130313837857103,52.8214014946388,48.35390946502058,640.9068947077233,937.8430446629991,-296.93614995527594,-55.26746578598885,0.43408331031739716
UK,GMM_Enhanced,5195,5496,48.59227387522215,0.022571393821099288,0.03243208898871065,-0.009860695167611361,52.33878729547642,46.87045123726347,182.89151901815126,937.8430446629991,-754.9515256448478,-50.43160377346359,0.34966169822481286
UK,ADX_Supertrend,1976,8715,18.482836030305865,0.021005774100697195,0.029144892984462066,-0.008139118883764871,51.31578947368421,46.87320711417097,41.55372841811922,937.8430446629991,-896.2893162448798,-41.843416299090784,0.17348115476909004
UK,HMM,8683,2008,81.21784678701711,0.0446085066136162,-0.045732326167064186,0.09034083278068039,53.43775192905677,50.647410358565736,3618.846697649624,937.8430446629991,2681.0036529866247,-26.076125361953817,0.8306945515348609
UK,HMM_Enhanced,4943,5748,46.235151061640636,0.02814965869969363,0.027202746873691532,0.0009469118260020985,52.76148088205544,47.28601252609603,258.92819358890466,937.8430446629991,-678.9148510740946,-26.00455268899562,0.4488060242174727
UK,RandomForest,8705,1986,81.42362735010757,0.06228782109219845,-0.12422473848188466,0.18651255957408314,54.129810453762204,53.57502517623364,13345.227263124807,937.8430446629991,12407.384218461808,-39.581882343182905,0.8177583057333101
Gold,SMA200,4547,1892,70.61655536574001,0.050350599622188644,0.04902908153580184,0.001321518086386806,53.77171761601056,48.94291754756871,640.8697081220762,1563.6364015179079,-922.7666933958318,-39.03411882241047,0.599472265504734
Gold,GMM,5432,1007,84.3609256095667,0.04907393713610462,0.05475429217925378,-0.005680355043149164,53.22164948453608,49.55312810327706,1004.0093625355635,1563.6364015179079,-559.6270389823445,-48.001295280756395,0.7273688154993483
Gold,GMM_Enhanced,1722,4717,26.743283118496663,0.06983122179755212,0.04270889014467758,0.02712233165287454,54.47154471544715,47.16981132075472,205.21442278232192,1563.6364015179079,-1358.421978735586,-14.733008653553902,0.5720271257843814
Gold,ADX_Supertrend,1413,5026,21.944401304550397,0.04077589295755423,0.052544938718425145,-0.011769045760870917,52.4416135881104,46.47831277357739,59.80488068100773,1563.6364015179079,-1503.8315208369004,-25.274839432384667,0.2468226098662822
