Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200
2015-08-13,2086.18994140625,2092.929931640625,2078.260009765625,2083.389892578125,3221300000,6571.2001953125,6634.7001953125,6553.5,6568.2998046875,668900300,3869.910888671875,3955.7890625,3838.158935546875,3954.555908203125,430100,1399.300048828125,1404.1500244140625,1382.699951171875,1404.1500244140625,10367500,266.1830139160156,266.23199462890625,262.84100341796875,264.0799865722656,27685500,2059.166304321289
2015-08-14,2083.14990234375,2092.449951171875,2080.610107421875,2091.5400390625,2795590000,6568.2998046875,6603.2001953125,6544.39990234375,6550.7001953125,577612000,3976.405029296875,4000.68408203125,3939.8349609375,3965.3349609375,468000,1404.239990234375,1416.469970703125,1399.3900146484375,1413.9200439453125,9683700,264.1319885253906,267.46600341796875,261.4779968261719,265.67999267578125,27091200,2059.616154785156
2015-08-17,2089.699951171875,2102.8701171875,2079.300048828125,2102.43994140625,2867690000,6550.7001953125,6585.89990234375,6507.7998046875,6550.2998046875,471278500,3947.843994140625,3994.537109375,3907.39892578125,3993.66796875,460400,1414.6400146484375,1418.68994140625,1408.739990234375,1408.739990234375,8642300,258.489990234375,260.5050048828125,257.11700439453125,257.97601318359375,21617900,2060.07155456543
2015-08-18,2101.989990234375,2103.469970703125,2094.139892578125,2096.919921875,2949990000,6550.2998046875,6564.60009765625,6505.7001953125,6526.2998046875,538348700,3999.134033203125,4006.3369140625,3743.39404296875,3748.1640625,543800,1371.8800048828125,1388.1199951171875,1362.31005859375,1372.6099853515625,18760800,257.9259948730469,257.9930114746094,211.07899475097656,211.07899475097656,42147200,2060.5041540527345
2015-08-19,2095.68994140625,2096.169921875,2070.530029296875,2079.610107421875,3512920000,6526.2998046875,6526.5,6403.5,6403.5,699446800,3646.802978515625,3811.427001953125,3558.383056640625,3794.10888671875,475400,1376.18994140625,1383.300048828125,1370.239990234375,1379.1199951171875,9411300,225.67100524902344,237.40899658203125,222.76600646972656,226.6840057373047,60869200,2060.930754394531
2015-10-26,2075.080078125,2075.139892578125,2066.530029296875,2071.179931640625,3385800000,6444.10009765625,6453.0,6405.39990234375,6417.0,441044400,3448.64892578125,3457.51708984375,3402.0,3429.5810546875,365600,1429.030029296875,1431.8599853515625,1423.239990234375,1424.1600341796875,7732300,283.62799072265625,285.29998779296875,280.510009765625,285.29998779296875,32108800,2059.210453491211
2015-10-27,2068.75,2070.3701171875,2058.840087890625,2065.889892578125,4216880000,6417.0,6419.60009765625,6365.2998046875,6365.2998046875,564355600,3409.136962890625,3441.56494140625,3332.615966796875,3434.3359375,328200,1422.72998046875,1428.780029296875,1421.1500244140625,1424.050048828125,7633400,285.1809997558594,296.2120056152344,285.00799560546875,293.7879943847656,46331800,2059.1928533935547
2015-10-28,2066.47998046875,2090.35009765625,2063.110107421875,2090.35009765625,4698110000,6365.2998046875,6448.5,6355.7998046875,6437.7998046875,819718100,3417.010986328125,3439.758056640625,3367.23095703125,3375.196044921875,293500,1422.969970703125,1423.93994140625,1407.02001953125,1409.260009765625,11129800,293.7030029296875,306.33099365234375,293.7030029296875,304.6180114746094,50808100,2059.309453735352
2015-10-29,2088.35009765625,2092.52001953125,2082.6298828125,2089.409912109375,4008940000,6437.7998046875,6437.89990234375,6358.2001953125,6395.7998046875,826622300,3387.77392578125,3411.714111328125,3362.509033203125,3387.31494140625,235700,1409.6199951171875,1411.2900390625,1387.75,1390.0400390625,10228500,304.3240051269531,318.1700134277344,301.822998046875,313.8550109863281,64495900,2059.3923529052736
2015-10-30,2090.0,2094.320068359375,2079.340087890625,2079.360107421875,4256200000,6395.7998046875,6410.2998046875,6337.7001953125,6361.10009765625,716340400,3380.283935546875,3417.200927734375,3346.591064453125,3382.56103515625,243600,1391.4100341796875,1398.9000244140625,1389.8299560546875,1394.93994140625,7207100,313.9429931640625,334.16900634765625,313.94000244140625,328.0150146484375,78305000,2059.451353149414
2015-11-02,2080.760009765625,2106.199951171875,2080.760009765625,2104.050048828125,3760020000,6361.10009765625,6364.39990234375,6317.2998046875,6361.7998046875,506603500,3337.577880859375,3391.06396484375,3322.31201171875,3325.0849609375,231000,1395.6300048828125,1413.5699462890625,1395.3499755859375,1413.3399658203125,7167600,325.9419860839844,365.3599853515625,323.2090148925781,361.1889953613281,101918000,2059.7044036865236
2015-11-03,2102.6298828125,2116.47998046875,2097.510009765625,2109.7900390625,4272060000,6361.7998046875,6383.60009765625,6344.7001953125,6383.60009765625,608961200,3330.31591796875,3346.27490234375,3302.18408203125,3316.695068359375,192900,1419.449951171875,1420.5999755859375,1408.530029296875,1412.6199951171875,7543200,361.87298583984375,417.8999938964844,357.6470031738281,403.4169921875,206162000,2059.9206036376954
2015-11-04,2110.60009765625,2114.590087890625,2096.97998046875,2102.31005859375,4078870000,6383.60009765625,6459.5,6383.0,6412.89990234375,759872100,3325.618896484375,3459.64599609375,3325.618896484375,3459.639892578125,339100,1420.6500244140625,1425.3599853515625,1417.469970703125,1423.4200439453125,8696500,403.66400146484375,495.56201171875,380.5480041503906,411.56298828125,263900000,2060.060503540039
2015-11-05,2101.679931640625,2108.780029296875,2090.409912109375,2099.929931640625,4051890000,6412.89990234375,6421.7998046875,6358.10009765625,6364.89990234375,722038900,3459.215087890625,3585.656982421875,3455.52490234375,3522.819091796875,553300,1421.22998046875,1427.050048828125,1412.510009765625,1413.1600341796875,9568100,408.0769958496094,447.5610046386719,374.58099365234375,386.35400390625,151824992,2060.200553588867
2015-11-06,2098.60009765625,2101.909912109375,2083.739990234375,2099.199951171875,4369020000,6364.89990234375,6395.2001953125,6332.7001953125,6353.7998046875,711572600,3514.43603515625,3596.382080078125,3508.826904296875,3590.031982421875,429200,1411.469970703125,1416.4200439453125,1408.93994140625,1414.5400390625,9441100,388.0469970703125,395.83599853515625,354.0249938964844,374.4700012207031,122687000,2060.3950030517576
2015-11-09,2096.56005859375,2096.56005859375,2068.239990234375,2078.580078125,3882350000,6353.7998046875,6380.39990234375,6292.10009765625,6295.2001953125,658685600,3588.498046875,3673.760009765625,3588.498046875,3646.881103515625,503000,1412.1500244140625,1413.699951171875,1401.77001953125,1402.5699462890625,7878700,374.3240051269531,385.27801513671875,362.8949890136719,380.2569885253906,68224400,2060.4888031005858
2015-11-10,2077.18994140625,2083.669921875,2069.909912109375,2081.719970703125,3821440000,6295.2001953125,6329.7001953125,6250.2998046875,6275.2998046875,725649900,3617.39599609375,3669.532958984375,3607.89111328125,3640.485107421875,429700,1398.18994140625,1403.260009765625,1394.7099609375,1398.3800048828125,8942300,379.9840087890625,381.3869934082031,329.1080017089844,336.8190002441406,95797904,2060.720753173828
