Feature,Importance
p_ma_grad_120,0.07773836516929852
p_ma_dist_60_120,0.0694191967972635
v_ma_grad_120,0.03576718690602938
p_ma_dist_20_60,0.03503698785683354
v_ma_grad_60,0.03261465537940787
v_disp_120,0.03234935238128278
v_ma_grad_20,0.030019407558879198
p_ma_dist_20_120,0.029712678770279357
p_ma_dist_5_20,0.02836359187496877
p_ma_dist_10_20,0.027793913412617267
v_disp_20,0.027548915122701977
roc_68,0.02736864533772934
roc_54,0.02715050736581994
roc_33,0.026980300580388136
v_disp_60,0.026497912430632143
p_ma_grad_60,0.025935506090253985
p_ma_dist_10_60,0.025794334971158853
roc_20,0.02268461506307896
v_ma_grad_5,0.022579532925476428
p_ma_dist_10_120,0.022441255554998655
p_disp_20,0.02128006037901406
p_ma_grad_20,0.0212546760828063
p_ma_grad_10,0.020877953562766147
v_disp_5,0.020427020809863222
p_ma_dist_5_10,0.020414433838038232
roc_7,0.020348566168173602
roc_12,0.020110404731865643
p_ma_dist_5_60,0.0199543016199874
roc_2,0.01973757775341319
p_ma_grad_5,0.019645476319295214
p_disp_5,0.01962954200839307
p_disp_10,0.019510648993004302
p_ma_dist_5_120,0.019335784897369358
roc_1,0.019306507358639924
p_disp_120,0.01888890106891543
roc_4,0.0187130319261238
p_disp_60,0.017100646987217763
double_bottom,0.0030455719190651052
triple_bottom,0.0028578065430761358
rounded_bottom,0.0018058396479747286
inv_head_shoulders,0.0017605104864650565
v_bottom,0.00019787534943367847
