Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
Gold,HMM,Overall,XGBoost,-1.97,-8.32,-10.61,9803.26,51.1,0.0,1.0,
Gold,,Uptrend,XGBoost,-1.87,-8.32,-10.61,9813.07,,,,
BTC,SMA200,Overall,LSTM,-60.9,76.7,-73.24,3909.81,54.0,46.0,5.0,
BTC,,Uptrend,LSTM,-64.62,58.46,-70.95,3537.96,,,,
BTC,,Downtrend,LSTM,11.51,11.51,-26.67,11151.03,,,,
BTC,SMA200,Overall,CNN,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,CNN,58.46,58.46,-40.59,15845.64,,,,
BTC,,Downtrend,CNN,11.51,11.51,-26.67,11151.03,,,,
BTC,SMA200,Overall,MLP,13.28,76.7,-53.06,11328.38,57.8,42.2,5.0,
BTC,,Uptrend,MLP,42.0,58.46,-42.26,14200.08,,,,
BTC,,Downtrend,MLP,-19.5,11.51,-35.64,8049.88,,,,
BTC,SMA200,Overall,Transformer,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,Transformer,58.46,58.46,-40.59,15845.64,,,,
BTC,,Downtrend,Transformer,11.51,11.51,-26.67,11151.03,,,,
BTC,SMA200,Overall,RandomForest,85.82,76.7,-48.98,18582.4,97.9,2.1,2.0,
BTC,,Uptrend,RandomForest,58.46,58.46,-40.59,15845.64,,,,
BTC,,Downtrend,RandomForest,17.62,11.51,-26.67,11762.41,,,,
BTC,SMA200,Overall,SVM,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,SVM,58.46,58.46,-40.59,15845.64,,,,
BTC,,Downtrend,SVM,11.51,11.51,-26.67,11151.03,,,,
BTC,SMA200,Overall,XGBoost,76.44,76.7,-48.98,17643.57,99.0,1.0,3.0,
BTC,,Uptrend,XGBoost,58.46,58.46,-40.59,15845.64,,,,
BTC,,Downtrend,XGBoost,11.91,11.51,-26.67,11190.52,,,,
BTC,GMM,Overall,LSTM,-60.43,76.7,-76.75,3956.67,69.7,25.4,29.0,
BTC,,Uptrend,LSTM,-55.12,89.32,-71.83,4488.28,,,,
BTC,,Downtrend,LSTM,-6.67,-6.67,-27.19,9333.18,,,,
BTC,GMM,Overall,CNN,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,CNN,57.95,89.32,-45.37,15794.57,,,,
BTC,,Downtrend,CNN,-6.67,-6.67,-27.19,9333.18,,,,
BTC,GMM,Overall,MLP,-22.25,76.7,-45.86,7774.92,25.4,69.7,25.0,
BTC,,Uptrend,MLP,-8.55,89.32,-36.62,9145.27,,,,
BTC,,Downtrend,MLP,-10.71,-6.67,-26.19,8928.96,,,,
BTC,GMM,Overall,Transformer,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,Transformer,57.95,89.32,-45.37,15794.57,,,,
BTC,,Downtrend,Transformer,-6.67,-6.67,-27.19,9333.18,,,,
BTC,GMM,Overall,RandomForest,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,RandomForest,57.95,89.32,-45.37,15794.57,,,,
BTC,,Downtrend,RandomForest,-6.67,-6.67,-27.19,9333.18,,,,
BTC,GMM,Overall,SVM,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,SVM,57.95,89.32,-45.37,15794.57,,,,
BTC,,Downtrend,SVM,-6.67,-6.67,-27.19,9333.18,,,,
BTC,GMM,Overall,XGBoost,6.87,76.7,-48.98,10687.18,92.7,2.4,3.0,
BTC,,Uptrend,XGBoost,18.97,89.32,-45.37,11897.33,,,,
BTC,,Downtrend,XGBoost,-9.72,-6.67,-27.19,9027.91,,,,
BTC,ADX,Overall,LSTM,-49.39,76.7,-65.36,5060.51,70.0,30.0,7.0,
BTC,,Uptrend,LSTM,-31.27,136.88,-61.48,6872.91,,,,
BTC,,Downtrend,LSTM,-25.41,-25.41,-48.07,7459.41,,,,
BTC,ADX,Overall,CNN,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,CNN,136.88,136.88,-18.69,23687.55,,,,
BTC,,Downtrend,CNN,-25.41,-25.41,-48.07,7459.41,,,,
BTC,ADX,Overall,MLP,39.85,76.7,-34.49,13985.5,28.2,71.8,7.0,
BTC,,Uptrend,MLP,30.59,136.88,-30.19,13059.33,,,,
BTC,,Downtrend,MLP,8.49,-25.41,-29.92,10849.47,,,,
BTC,ADX,Overall,Transformer,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,Transformer,136.88,136.88,-18.69,23687.55,,,,
BTC,,Downtrend,Transformer,-25.41,-25.41,-48.07,7459.41,,,,
BTC,ADX,Overall,RandomForest,85.82,76.7,-48.98,18582.4,97.9,2.1,2.0,
BTC,,Uptrend,RandomForest,136.88,136.88,-18.69,23687.55,,,,
BTC,,Downtrend,RandomForest,-21.32,-25.41,-48.07,7868.39,,,,
BTC,ADX,Overall,SVM,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,,Uptrend,SVM,136.88,136.88,-18.69,23687.55,,,,
BTC,,Downtrend,SVM,-25.41,-25.41,-48.07,7459.41,,,,
BTC,ADX,Overall,XGBoost,69.98,76.7,-48.98,16998.29,98.6,1.4,5.0,
BTC,,Uptrend,XGBoost,136.88,136.88,-18.69,23687.55,,,,
BTC,,Downtrend,XGBoost,-27.59,-25.41,-48.07,7240.98,,,,
BTC,HMM,Overall,LSTM,39.08,76.7,-52.68,13907.53,61.0,34.1,11.0,
BTC,,Uptrend,LSTM,-7.88,14.6,-34.43,9211.87,,,,
BTC,,Downtrend,LSTM,54.18,54.18,-42.06,15418.12,,,,
BTC,HMM,Overall,CNN,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,CNN,-4.39,14.6,-34.52,9561.06,,,,
BTC,,Downtrend,CNN,54.18,54.18,-42.06,15418.12,,,,
BTC,HMM,Overall,MLP,-56.25,76.7,-64.48,4374.76,36.9,58.2,11.0,
BTC,,Uptrend,MLP,-5.87,14.6,-39.31,9413.06,,,,
BTC,,Downtrend,MLP,-52.54,54.18,-58.94,4746.28,,,,
BTC,HMM,Overall,Transformer,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,Transformer,-4.39,14.6,-34.52,9561.06,,,,
BTC,,Downtrend,Transformer,54.18,54.18,-42.06,15418.12,,,,
BTC,HMM,Overall,RandomForest,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,RandomForest,-4.39,14.6,-34.52,9561.06,,,,
BTC,,Downtrend,RandomForest,54.18,54.18,-42.06,15418.12,,,,
BTC,HMM,Overall,SVM,47.27,76.7,-48.98,14726.61,95.1,0.0,1.0,
BTC,,Uptrend,SVM,-4.39,14.6,-34.52,9561.06,,,,
BTC,,Downtrend,SVM,54.18,54.18,-42.06,15418.12,,,,
BTC,HMM,Overall,XGBoost,24.11,76.7,-48.98,12411.26,94.4,0.7,5.0,
BTC,,Uptrend,XGBoost,-4.39,14.6,-34.52,9561.06,,,,
BTC,,Downtrend,XGBoost,30.99,54.18,-42.06,13098.52,,,,
