Market,Trend,Final Equity,Total Return (%),Buy&Hold Return (%),Max Drawdown (%)
US,uptrend,9406.569911312941,-5.934300886870587,24.685096638829595,-7.627954216083502
US,downtrend,8374.76553307654,-16.25234466923461,-55.08752736559709,-45.74509904251731
UK,uptrend,8789.013074828958,-12.109869251710425,1.7759050801921257,-16.390644072663434
UK,downtrend,11358.247767727993,13.58247767727993,-42.09364239973081,-22.05976790798555
Thai,uptrend,10204.235144784332,2.0423514478433207,15.62876804585902,-4.398745982713197
Thai,downtrend,10115.568843226683,1.1556884322668337,-17.583122140203336,-12.96443060076547
Gold,uptrend,8891.606362091226,-11.083936379087737,46.10467439073112,-15.242889110852156
Gold,downtrend,9072.760671482522,-9.272393285174784,-1.877209770739513,-11.57433188636757
BTC,uptrend,15792.55199322048,57.92551993220481,545.0812943809079,-41.44132824505769
BTC,downtrend,10415.230911111388,4.1523091111138815,-1.4113262511835498,-10.945096112354047
