Market,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
Gold,Uptrend,MLP,1.46,-7.17,-6.27,10145.76,,,,
Gold,Downtrend,MLP,10.21,-1.23,-6.02,11020.66,,,,
Gold,Overall,Transformer,-3.64,-8.32,-16.88,9635.93,29.7,59.1,4.0,
Gold,Uptrend,Transformer,4.12,-7.17,-8.53,10411.68,,,,
Gold,Downtrend,Transformer,-6.8,-1.23,-16.59,9320.0,,,,
Gold,Overall,RandomForest,12.17,-8.32,-10.61,11216.81,85.7,3.1,13.0,
Gold,Uptrend,RandomForest,-1.34,-7.17,-7.6,9866.31,,,,
Gold,Downtrend,RandomForest,16.57,-1.23,-6.87,11656.89,,,,
Gold,Overall,SVM,-2.65,-8.32,-13.7,9735.01,88.8,0.0,1.0,
Gold,Uptrend,SVM,-1.34,-7.17,-7.6,9866.31,,,,
Gold,Downtrend,SVM,-1.23,-1.23,-11.43,9876.8,,,,
Gold,Overall,XGBoost,3.07,-8.32,-12.93,10306.77,85.9,2.9,15.0,
Gold,Uptrend,XGBoost,-1.34,-7.17,-7.6,9866.31,,,,
Gold,Downtrend,XGBoost,7.54,-1.23,-7.86,10754.12,,,,
BTC,Overall,LSTM,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,Uptrend,LSTM,58.46,58.46,-40.59,15845.64,,,,
BTC,Downtrend,LSTM,11.51,11.51,-26.67,11151.03,,,,
BTC,Overall,CNN,70.78,76.7,-50.64,17078.17,95.1,4.9,5.0,
BTC,Uptrend,CNN,58.46,58.46,-40.59,15845.64,,,,
BTC,Downtrend,CNN,8.75,11.51,-24.67,10875.37,,,,
BTC,Overall,MLP,9.87,76.7,-49.34,10987.06,56.8,43.2,5.0,
BTC,Uptrend,MLP,45.34,58.46,-39.69,14534.35,,,,
BTC,Downtrend,MLP,-23.72,11.51,-36.39,7627.78,,,,
BTC,Overall,Transformer,0.0,76.7,0.0,10000.0,0.0,0.0,0.0,
BTC,Uptrend,Transformer,0.0,58.46,0.0,10000.0,,,,
BTC,Downtrend,Transformer,0.0,11.51,0.0,10000.0,,,,
BTC,Overall,RandomForest,80.44,76.7,-48.98,18044.25,98.3,1.7,2.0,
BTC,Uptrend,RandomForest,58.46,58.46,-40.59,15845.64,,,,
BTC,Downtrend,RandomForest,14.22,11.51,-26.67,11421.76,,,,
BTC,Overall,SVM,76.52,76.7,-48.98,17651.85,100.0,0.0,1.0,
BTC,Uptrend,SVM,58.46,58.46,-40.59,15845.64,,,,
BTC,Downtrend,SVM,11.51,11.51,-26.67,11151.03,,,,
BTC,Overall,XGBoost,85.82,76.7,-48.98,18582.4,97.9,2.1,2.0,
BTC,Uptrend,XGBoost,58.46,58.46,-40.59,15845.64,,,,
BTC,Downtrend,XGBoost,17.62,11.51,-26.67,11762.41,,,,
